name,type,regions,store_count,website,best_contact_email,best_contact_role,why_target,notes
Rebel Sport,chain,national,43,https://www.rebelsport.co.nz/,rod.duke@briscoegroup.co.nz,"Managing Director / CEO (Rod Duke), Briscoe Group","Largest NZ sports chain, will be the dominant retailer of WC2026 Adidas match ball and national-team jerseys; 43 stores nationwide; new store format pilot underway",Owned by Briscoe Group (NZX listed). HQ: 1 Taylors Morningside Rd Auckland 1025. Group also owns Briscoes Homeware. Marketing function sits inside Briscoe Group Support Office. Sam Lacey is Head of Ecommerce.
Stirling Sports,chain,"national (incl. Auckland, Wellington, Christchurch, Dunedin, Cromwell)",~60,https://stirlingsports.co.nz/,help@stirlingsports.co.nz,Customer / Marketing inbox,"60-store NZ-owned sneaker + sportswear chain since 1964; carries Nike/adidas/Puma football boots and All Whites + club replica kits",HQ phone 03 366 3535 (Christchurch). Founded 1964. Stores in most malls (Westfield Albany / Manukau / Newmarket / Bayfair etc.). Briscoe Group tried to buy in 2005 but deal collapsed; remains independent.
JD Sports NZ,chain,national (8 stores),8,https://www.jdsports.co.nz/,customercare@jdsports.co.nz,Customer Care / NZ Marketing,"UK sneaker giant; NZ stores in Albany, Sylvia Park, LynnMall, Manukau, Hamilton, Cuba St (Wellington), Christchurch, Dunedin; strong Nike/adidas/Puma football boot inventory","HQ mail: 25 Timberly Road Māngere Auckland 2022. Phone +64 3 661 4855. Escalation customerchampions@jdplc.com. NZ ops likely run by small marketing team."
Foot Locker NZ,chain,"national (Auckland, Wellington, Christchurch malls)",~10,https://www.footlocker.co.nz/,via Help Center contact form,Customer Service / NZ Marketing,"Global sneaker chain; carries WC2026 replica jerseys and lifestyle football crossover stock (Nike, adidas, Jordan); high foot traffic at mall locations","No public NZ marketing email; submit via Help Center at footlocker.co.nz. Parent Foot Locker Inc (US). Smaller NZ presence than Australia."
Sports Direct NZ,chain,"online + new physical rollout 2025-26",growing (online + new stores),https://nz.sportsdirect.com/,via customer services contact form,Customer Services / NZ Frasers Group lead,"Frasers Group plans 50+ Sports Direct stores in AU/NZ via Accent Group partnership (2025-26); huge replica jersey + boot inventory across Everlast, Slazenger, Karrimor, USA Pro, plus adidas/Nike",NZ rollout being run jointly with Accent Group. Watch for new store openings ahead of WC2026.
The Athlete's Foot NZ,chain,"national (Auckland, Hamilton, Christchurch, Palmerston North, Tauranga, Newmarket, Albany, Sylvia Park)",~15,https://www.theathletesfoot.co.nz/,via Help Center help.theathletesfoot.co.nz/hc/en-us,Customer Service / Accent Group NZ Marketing,"Carries football boots from adidas/Nike/Puma; mall-anchored locations; runs licensed All Blacks/All Whites footwear collabs","Owned by Accent Group (ASX-listed, HQ Richmond Australia). Same parent as Hype DC / Platypus / Skechers AU/NZ. Sister to Sports Direct rollout via Frasers partnership."
Champions of the World,chain,"national (Auckland, Christchurch, Queenstown, etc.)",8,https://champions.co.nz/,info@champions.co.nz,Owner-operator / Head Office,"100% NZ-owned licensed sports merch reseller; All Blacks / Super Rugby focus but expanding into football replica kits and accessories",Phone 0508 242 677. Christchurch HQ: Store 8 478 Cranford St. Orders email orders@champions.co.nz. Tourist-friendly Queenstown store.
Sportspower NZ,franchise,"~30+ independent franchisees across NZ (Cromwell, Christchurch, Tauranga and more)",~30,https://www.sportspower.com.au/,via Associated Retailers NZ (info on AU site),"Group Marketing (Associated Retailers NZ Ltd)","Independent owner-operator co-op; member stores carry football boots and jerseys; each franchisee can opt in to a prediction-pool promo with no head-office approval bottleneck",Part of Associated Retailers NZ Ltd (the same co-op that runs the Australian Sportspower group). Each store has its own marketing budget. Anderson & Hill (Christchurch) is the largest NZ Sportspower member.
Anderson & Hill Sportspower,independent,Christchurch (Barrington Mall),1,https://andersonandhill.co.nz/,via contact form on andersonandhill.co.nz,Nathan Astle (owner-operator) and Kelly Astle,"Christchurch institution 70+ years; owned by former Black Caps cricketer Nathan Astle (huge name recognition); stocks adidas/asics/New Balance football boots and replica gear",Phone 03 366 5699. Sportspower member. Email obfuscated on site (use contact form). Astle name + WC2026 angle = excellent PR hook.
Smiths Sports Shoes,chain,"national (Whangarei, Auckland Mt Eden, Tauranga, Cambridge, New Plymouth, Palmerston North, Hamilton Te Rapa, Christchurch, Dunedin)",~14,https://smithssportsshoes.co.nz/,via contact form on /pages/contact-us,Smith family (privately owned),"NZ's leading sports-shoe specialist 75+ years; carries football boots from adidas/Nike/Puma/asics; 14 stores (2 company-owned, 12 franchised)",HQ: 193 Dominion Road Auckland. Founded 1949 by Arthur and Minnie Smith. Run by the Smith family with partners (Chris Smith / Bruce Greenhalgh). Independent Tauranga site smithssportsshoestauranga.co.nz.
Players Sports,independent,"Auckland (Greenlane, Onehunga, St Johns)",3,https://www.playerssports.co.nz/,info@playerssports.co.nz,Owner-operator,"NZ-owned specialist sports retailer; strong football inventory (adidas/Puma/Mizuno/New Balance/UA/Skechers/Asics); official Auckland FC + Wellington Phoenix stockist; runs club bulk-quote programme",Phone 09 522 8170 (general) / 09 871 5233 (Greenlane flagship). GST 108-662-107. Active on Auckland football clubs as a supplier.
Soccer United NZ,specialist,Hamilton + nationwide online,1,https://www.soccerunited.co.nz/,via contact form on /pages/contact,Owner-operator,"Self-described 'NZ's biggest football store'; carries adidas/Puma/New Balance/Mizuno/Skechers football boots, goalkeeper gear, supporters; runs ATS Football Training Centre",Phone 07 595 0700. 443 Anglesea Street Hamilton. Strong Waikato football ties. Adds 1-on-1 indoor training services so already partner-minded.
Football Central,specialist,Porirua (Wellington region) + online,1,https://footballcentral.co.nz/,sales@footballcentral.co.nz,Owner-operator,"NZ-owned online football specialist; stocks Nike/adidas/Puma/asics/NB/Mizuno boots + supporter ranges incl. Wellington Phoenix; offers custom printing for clubs and international team replica kits","Phone (04) 801 6767 / 0800 4 FOOTY. Unit 1, 3 Raiha Street, Elsdon, Porirua 5022. PO Box 27-137, Marion Square Wellington 6141."
