name,type,regions,store_count,website,best_contact_email,best_contact_role,why_target,notes,phone
Innovasport,chain,national,114,https://www.innovasport.com/,via contact form on innovasport.com/contacts,"Director General Juan Carlos Martin Villar (inferred j.martin@innovasport.com unverified)","Largest multi-brand sporting goods chain in Mexico; will be the dominant retailer of WC2026 adidas El Tri replica kit and Adidas WC2026 match ball; 114 Innovasport stores nationwide; already runs the Liga MX club merch channel (Club Leon official portal lives at innovasport.com/liga/mx/c/leon); Mexico is a WC2026 host","HQ 520 Humberto Lobo, San Pedro Garza Garcia, Nuevo Leon 66220; founded April 1999 by Francisco Martin Bringas + Maria Concepcion Villar; the Martin family also sits on the Organizacion Soriana board; ~2,900+ employees; CEO Juan Carlos Martin Villar (son); email pattern first.last@innovasport.com per ZoomInfo (unverified); Wikipedia entry under 'Innovasport and Innvictus'",
Innvictus,chain,national,75,https://www.innvictus.com/,via contact form on innvictus.com/contacts,Grupo Innovasport corporate marketing,"Sneaker / streetwear sister chain of Innovasport; 75 stores nationally; primary Mexican channel for limited Nike Mercurial / adidas WC2026 boot drops; sneaker-culture audience overlaps perfectly with prediction-pool demographic (16-34 male Liga MX fan); WC2026 opening match at Estadio Azteca is the biggest sneaker-drop moment in Mexico for a generation","Owned by Grupo Innovasport (same Martin Villar family); opened 2015 with focus on streetwear / sneakers / urban culture; sister format 'Over Time' has 13 doors; phone 55 8880 2222 (general); Mon-Sat 08:00-20:00 Sun 10:00-18:30",55 8880 2222
Grupo Marti,chain,national,200+,https://www.marti.mx/,via contact form on marti.mx/contacto,"Corporativo Grupo Marti / Marti Outlet marketing (escalation to Familia Harp Helu, owners since 2007)","Second-largest sporting goods chain in Mexico after Innovasport; flagship Mexican sports retail brand since 1950; owns Sport City fitness clubs (30+ locations, 68,000 members) and Emocion Deportiva; broad WC2026 inventory (jerseys, balls, boots); Mexico is a WC2026 host nation and the opening match Mexico vs South Africa at Estadio Azteca is the highest-leverage Mexican sports retail moment in 30 years","BMV-listed under ticker GMARTI (Grupo Marti SAB); HQ Av Insurgentes Sur 552, Col Roma Sur, Cuauhtemoc CDMX 06760; phone +52 55 8751 8110; founder Alejandro Marti died July 2023; sold to Alfredo Harp Helu + Alfredo Harp Calderoni in 2007 for ~6bn pesos; group structure: Tiendas Marti, Marti Outlet, Marti Digital, Sport City Clubs, City Cafe, Emocion Deportiva; general customer phone 55 8947 0345",+52 55 8751 8110
Decathlon Mexico,chain,"CDMX (Polanco, San Angel, Acoxpa, Interlomas, Mundo E), Monterrey (San Pedro, Cumbres), Guadalajara (Chapalita, Acueducto), Queretaro, Puebla, Toluca (Metepec), Aguascalientes, Merida, Torreon",15+,https://www.decathlon.com.mx/,contacto.mexico@decathlon.com,Decathlon Mexico customer / marketing inbox,"French big-box sports retailer rapidly expanding in Mexico; carries Kipsta own-brand football kit and boots plus adidas/Nike licensed WC2026 lines; high foot traffic; large-format stores ideal for in-store prediction-pool activation in the WC2026 fan-zone window","HQ Av Ejercito Nacional 826, Polanco III Seccion, Miguel Hidalgo CDMX 11540 (Polanco flagship); also corporate office cited at Homero 404, Polanco; phone +52 55 5259 9999; trading entity Articulos Deportivos Decathlon SA de CV; FB/IG @DecathlonMexico; Decathlon Polanco carries 4,000+ products",+52 55 5259 9999
JD Sports Mexico,chain,"national mall presence (CDMX, Monterrey Mall del Norte, Tijuana Plaza Mar 2 etc.)",growing 2025-26,https://www.global.jdsports.com/nation/mexico/,via Mexico nation page contact form,JD Sports Mexico marketing lead (named contact not public),"UK sneaker giant expanding fast in Mexico; carries deep Nike/adidas/Puma football boot inventory + replica jerseys; mall-anchored locations capture matchday foot traffic; perfect for cross-promotional WC2026 boot drop + prediction pool",Parent JD Sports Fashion plc (LSE: JD.); Mexican operation listed on global.jdsports.com/nation/mexico/; physical store list still scaling out; escalation customerchampions@jdplc.com (UK head office); no published Mexico marketing email yet,
Foot Locker Mexico,chain,"CDMX and select malls (Gran Plaza 2 etc.)",~10,https://www.footlocker.com.mx/,via Help Center contact form,Customer service / regional marketing,"Global sneaker chain with Mexican mall footprint; will stock WC2026 replica jerseys and adidas/Nike football-lifestyle crossover; small but high-foot-traffic mall positions; partnership-friendly because Mexico is a strategic LATAM rollout market","No local Mexico phone number; routes to US call center 1-800-991-6815 with Spanish support; parent Foot Locker Inc (NYSE: FL); EMEA Spanish-language support at help.footlocker.eu",
Snipes Mexico,chain,select malls,growing,https://www.snipes.com/,via contact form on snipes.com/contact-us,Snipes Mexico marketing / regional lead,"European sneaker / streetwear chain (founded 1998, 150+ stores in Europe) entering Mexican market; carries adidas/Nike/Puma plus exclusive sneaker drops; hip-hop / street basketball / urban dance positioning matches Liga MX youth fan audience; partnership-hungry as Mexico expansion is early",Parent Snipes SE (Germany); Mexican store list not fully published; Mexican stores currently routed through European customer service; no local Mexican marketing inbox surfaced,
Dportenis,chain,"national (18 states, 35+ cities)",200+,https://www.dportenis.mx/,atencionaclientes@dportenis.com.mx,Customer service / corporate marketing escalation,"Sinaloa-based regional sneaker / sportswear chain; 200+ stores across dportenis, dpstreet and dpwoman formats; #2 nationally for aspirational footwear/sportswear; carries Charly Liga MX kit alongside Nike/adidas; strong WC2026 boot range; deep credit / fintech penetration through dpvale and ClubDP card means high repeat traffic","Founded 16 Mar 1987 in Mazatlan Sinaloa; HQ Av La Marina s/n Lote 6, Fraccionamiento La Marina, Mazatlan, Sinaloa; phone +52 669 915 5300; own brand 'Onboard' since 1994; dpdirecto launched 2020; corporate contact form at dportenis.mx/contactenos-corporativo; Grupo dportenis on LinkedIn",+52 669 915 5300
Price Shoes,e-tailer,national (catalog + sucursales Ecatepec / Tijuana / Leon / Veracruz / CDMX / Guadalajara),50+ sucursales,https://www.priceshoes.com/,via contact form on priceshoes.com,Corporate marketing / catalog channel manager,"100% Mexican catalog + omni-channel footwear and apparel giant; massive distributor / telemarketing network; carries Charly + Nike + adidas football boot range; reaches deep into provincial Mexico via tele-sales catalog model; ideal for a 'predict the El Tri win, win a Charly Tri kit' giveaway","HQ in CDMX (sucursales nationwide); 15-year-old business per own marketing copy; runs MercadoLibre official store (mercadolibre.com.mx/tienda/price-shoes-mexico); product mix includes athletic apparel for hombre/dama/ninos",
Liverpool (El Puerto de Liverpool),chain,national (88 cities),124,https://www.liverpool.com.mx/,via contact form on liverpool.com.mx,Corporate marketing (escalation to retail directors via El Puerto de Liverpool),"Largest Mexican department store chain; 124 large-format stores + Suburbia + Galerias malls; full sports floor carries adidas/Nike/Puma/Charly WC2026 replica kit and football boots; loyalty programme reaches affluent Mexican households; perfect for an Estadio Azteca opening-match VIP-experience prize","BMV-listed parent El Puerto de Liverpool SAB de CV; HQ Av Tamaulipas 150 Torre B Piso 14, Col Hipodromo Condesa, Cuauhtemoc CDMX 06170; 5 business units (Tiendas Liverpool, Suburbia, Galerias, Boutiques, Negocios Financieros); rolling out 'express' format stores 2025-26; flagship Polanco store at Mariano Escobedo 425; Santa Fe phone 52 57 90 00",
El Palacio de Hierro,chain,"CDMX, Cancun, Queretaro, Puebla, Monterrey, Guadalajara, Estado de Mexico",22,https://www.elpalaciodehierro.com/,via contact form on elpalaciodehierro.com/contacto,Sports floor commercial manager (route via Grupo BAL retail),"Mexican luxury department store; 22 doors including 15 large-format + 2 La Boutique Palacio + 2 Casa Palacio + 2 outlets + 149 brand boutiques; sports floor carries premium adidas/Nike WC2026 inventory; upscale audience aligns with paid-tier prediction pool experience tiers (Estadio Azteca hospitality prize)","Founded 1888; part of Grupo BAL (Mexican conglomerate: insurance, mining, retail); chairman family Bailleres Gonzalez; flagship at the Centro Historico de la Ciudad de Mexico",
Sears Mexico,chain,national,90,https://www.sears.com.mx/,via contact form on sears.com.mx,Sports / footwear category manager (route via Grupo Sanborns retail),"Mexican Sears under Grupo Carso (Carlos Slim); 90 doors nationally; carries Nike / Chaps / Dockers / Levi's and adidas; strong middle-market sports floor; Grupo Carso also owns telecom assets (Telcel) which sponsors Liga MX clubs - cross-promo angle for WC2026 prediction pool with Telcel airtime prizes","Operated by Grupo Sanborns (subsidiary of Grupo Carso); Carso acquired 85% of Sears Mexico in 1997; HQ at Plaza Carso, Lago Zurich 245, Granada, Miguel Hidalgo CDMX; Slim-empire connection means escalation to Carlos Slim Domit / Grupo Carso retail; Spanish Wikipedia 'Sears Roebuck (Mexico)'",
Coppel,chain,national,1500+,https://www.coppel.com/,via contact form on coppel.com,Sporting goods / footwear category lead (route via Grupo Coppel corporate),"Mexico's largest mass-market departmental chain (1,500+ stores); carries Puma, Nike, Reebok, Sportline and adidas; massive provincial reach in working-class catchments where Liga MX and El Tri fandom is densest; consumer-credit model means repeat visits which fits 6-week WC2026 engagement window","HQ Culiacan, Sinaloa; founded 1941 by Familia Coppel; private family conglomerate (Grupo Coppel); BBVA Bancoppel financial-services arm cross-sells with retail; over 30,000 SKUs on coppel.com",
City Club,chain,"national (Soriana-owned wholesale-club format)",40,https://www.cityclub.com.mx/,via contact form on cityclub.com.mx,Deportes category buyer (route via Organizacion Soriana retail),"Soriana's Costco-style wholesale club; 40 stores nationally; carries football + team-training departments alongside electronics + line blanca; large-pack buying model fits team-kit and football-bulk prizes for community pools (Liga MX academies, schools)","Subsidiary of Organizacion Soriana SAB (BMV: SORIANA B); founded 2002; expanded into former Comercial Mexicana real estate after Soriana acquired Comercial Mexicana; own private label Member's Choice",
