name,type,regions,store_count,website,best_contact_email,best_contact_role,why_target,notes,phone
Decathlon España,chain,national,~180,https://www.decathlon.es/,escuchacliente@decathlon.com,"Customer voice inbox; Decathlon PRO 916233122 routes B2B clubs","Largest sporting goods chain in Spain; new Decathlon Football Pro Shops rolled out August 2025 (18 specialised football corners); Decathlon PRO B2B service already supplies federaciones, clubes y AMPAs across all comunidades; will dominate WC2026 boot + La Roja replica volume","HQ Calle Salvador de Madariaga s/n, Parque Empresarial Alegra, Edificio Factory Dehesa Vieja, San Sebastián de los Reyes 28702 Madrid. Phone +34 91 657 37 67. Press room saladeprensa.decathlon.es. CMO España Francesca Musacchio; E-commerce Director Iñigo Urrestarazu; Partnerships Manager Marketplace Álvaro Herranz Díaz (LinkedIn surface). Decathlon PRO 916233122 is the fastest route into the clubs channel.",+34 916 573 767
Intersport España,franchise,national + 5 markets,~293,https://www.intersport.es/,marketing@intersport.es,Marketing Department / Franchise development,"Global Intersport co-op; 293 puntos de venta (own + franquiciados) in Spain alone; member stores carry full WC2026 Adidas + Nike inventory; each franquiciado can opt in to a prediction-pool promo without group HQ bottleneck because each store has its own marketing budget","Spanish HQ Avenida de la Vía Augusta 15, 25 Edificio B P. 10, 08174 Sant Cugat del Vallès (Barcelona). Phone 935 88 76 43. Second contact imedina@intersport.es. Sociedad operadora was Intersport SL (Barcelona, en liquidación) - the operating entity has been restructured under IRG / Eren Group. Worldwide co-op spans 44 countries.",+34 935 887 643
Sprinter Megacentros del Deporte,chain,national,~212 (target 240 by 2026),https://www.sprinter.es/,atencionalcliente@sprinter.es,Customer service / JD Sports Iberia marketing,"212 megastores nationwide and 20 more openings planned in 2026; JD Sports fully integrated Sprinter under ISRG (Iberian Sports Retail Group); Alicante-led football and sneakers focus; primary mall anchor for La Roja replica volume outside Barça / Real Madrid",HQ Avenida Euro 2 Plind de Las Atalayas 03114 Alicante. Founded 2000 in Elche; central offices and main logistics in Las Atalayas. JD Sports Fashion (UK) reorganised ISRG poderes in 2025 absorbing Sprinter + Sport Zone España + JD España into one Iberian holding. Strong fit for WC2026 promo at corporate level.,
Forum Sport,chain,national (Basque + national),~44,https://www.forumsport.com/,forumsport@forumsport.es,Customer / Marketing inbox (Eroski-owned),"Eroski-owned (cooperativa) deportes chain; 44 tiendas físicas in Spain; founded 1991 in País Vasco; well-stocked with Adidas/Nike/Puma football boots and replica jerseys; runs nationwide online store","HQ Barrio Etxerre s/n, 48970 Basauri (Vizcaya). Switchboard 944 26 08 30. Customer service 944 28 66 18 (Mon-Sat 9-22). Freephone 900 103 700. Owned by Eroski Group (Spanish retail cooperative). Marketing contact lives inside corporativo.eroski.es press team.",+34 944 286 618
JD Sports España,chain,national,~115,https://www.jdsports.es/,contacto@jdsports.es,Customer service / NZ ISRG marketing,"UK sneaker giant in Spain via JD Spain Sports Fashion 2010 SL; aggressive 2025-26 opening schedule (Diagonal Mar Barcelona, Portal del Àngel etc.); top-2 distributor of WC2026 football boots and Nike/Adidas replica kits in mall channels","Madrid registered office for JD Spain Sports Fashion 2010 SL is Calle Aracne s/n Pol. Empresarial Las Mercedes (San Blas). Phone 911 28 08 88. Part of ISRG holding alongside Sprinter and the former Sport Zone España. UK parent JD Sports Fashion plc. Marketing function sits in Alicante alongside Sprinter post-merger.",+34 911 280 888
Foot Locker Spain,chain,national,~60,https://www.footlocker.es/,info@footlockerspain.com,Customer service / Spain marketing,"Global sneaker chain; Spanish entity Foot Locker Spain SL headquartered in Barcelona; mall foot traffic across Madrid, Barcelona, Valencia, Bilbao, Sevilla; carries WC2026 replica jerseys and Nike/Jordan/adidas crossover stock",HQ Calle Balmes 195 08006 Barcelona. Phone 93 237 50 33 plus customer line 919 54 63 71. Parent Foot Locker Inc. (US). The corporate Help Center at help.footlocker.eu is the main public route; info@footlockerspain.com is the published Spain inbox.,+34 932 375 033
Base Detall Sport,franchise,national + Andorra,~270 (Base + Wanna brands),https://www.base.net/,movimientobase@base.net,Head office / member marketing (cooperativa),"270 puntos de venta across Spain and Andorra under three brands (Base, Wanna Sneakers, Wanna Style); 63 member-shareholders, many ex-athletes; cooperativa structure mirrors NZ Sportspower so each franquiciado can opt in to a prediction-pool with local prizes",HQ Calle Sancho de Ávila 83-89 3ª Planta 08018 Barcelona. Phone 93 448 33 80. Founded 1985 from a union of family-run sports stores. Strong Catalan footprint plus Andorra cluster - relevant for FC Barcelona + Andorra national team supporters.,+34 934 483 380
Tradeinn (Goalinn),e-tailer,national + global,1 HQ + 14 specialist sites,https://www.tradeinn.com/goalinn/,info@tradeinn.com,Sales / marketing inbox,"Goalinn is the football-specific arm of Tradeinn Retail Services - one of Spain's largest sports e-commerce operators; ships globally; carries full WC2026 selecciones inventory + boots + goalkeeper kit","HQ C/ Pirineus 9 17460 Celrà (Girona). Phone 93 220 00 89. CIF ES-B-17527524. Tradeinn runs 14 specialist verticals (Goalinn for football, Tradeinn for cross-sport etc.). Founder Davids Martin Carles. Strong logistics so prize-fulfilment via store is easy.",+34 932 200 089
Décimas (Sport Street SLU),chain,national + FR/PT/RO,~300,https://www.decimas.com/,atencionalcliente@decimas.es,Customer service / Sport Street SLU marketing,"300+ stores in Spain plus footprint in France, Portugal, Romania; carries Nike, adidas, Puma, NB, Asics, Champion; owns brands Décimas, Polinesia, Tenth, Invain; runs ~10 adidas franchises - so already inside the adidas commercial channel for WC2026",HQ Carretera Fuencarral 44 Edificio 9 L-18 28108 Alcobendas Madrid. Phone 91 524 93 95 / 913 295 488. Internal mail buzon@decimas.es. Operator Sport Street SLU (CIF B80772502; 332 employees 2025). Founded 1985 in Madrid; flagship store opened 1987.,+34 915 249 395
Snipes Spain,chain,national,~30,https://www.snipes.com/es-es/,onlineservice-es@snipes.es,Customer service / Spain marketing,"German sneaker + streetwear chain with strong urban presence in Spain; Plaza Río 2, Islazul, Plenilunio, Gran Plaza 2 Madrid plus catalogue across mall network; carries Nike/adidas/Jordan football crossover and culture-led WC2026 lifestyle ranges","HQ Calle Juan Gris 10 08014 Barcelona. Madrid sub Calle Adolfo Bioy Casares 2 28051. Freephone 900 80 39 06. Parent Snipes SE (Germany, part of Deichmann group). Smaller corporate marketing function than chains above so faster decision.",+34 900 803 906
Sports Direct España,chain,online + new stores 2025-26,growing,https://www.sportsdirect.com/es,via help.sportsdirect.com (Customer Services form),NZ Frasers Group / Iberia rollout lead,"Frasers Group rolling out Sports Direct physical stores in Spain via Iberia plan; huge replica jersey + boot inventory across Slazenger, Karrimor, Everlast plus adidas/Nike; entering Spanish football retail at scale for WC2026","Spanish sub Sports Direct Spain SLU registered in Madrid. Watch palco23 + modaes news for opening waves. No public marketing email; help center is the primary inbound route. Parent Frasers Group plc (UK).",
Sportmania.es,e-tailer,online + España,1,https://sportmania.es/,via /es/contacto form,Owner-operator,"Spanish multi-deporte e-tailer; sub-specialised in selecciones and La Liga replica football; particularly focused on smaller clubs (Rayo Vallecano etc.) so already partner-minded with mid-tier brands - WC2026 fit obvious",Smaller operation than the chains. Online-only model means low overhead for a free prediction-pool promo. Strong on national-team / selecciones inventory ahead of WC2026.,
Coolligan,independent,national,~17 physical + online,https://coolligan.com/,contacto@coolligan.com,Owner / brand lead,"Spanish retro / vintage football lifestyle brand with 17+ corners across Spain (Madrid Travesía del Arenal 1, Málaga Muelle Uno, A Coruña Marineda City, Valladolid, Guadalajara, Ávila, etc.); collabs with RC Celta (official retro collection); deep brand fit with the prediction-pool nostalgia angle",Madrid HQ Travesía del Arenal 1. Phone +34 911 28 94 36. Founder-led so decisions are fast. Already on RC Celta official store as a special collection - shows clubs trust them.,+34 911 289 436
Retrofootball,independent,Madrid + online,1,https://www.retrofootball.es/,via /contacts form,Owner-operator,"Madrid-based retro football jersey specialist; ships across Europe via retrofootball.eu; deep WC2026 angle around classic Spain shirts (1982, 2010); small operation but high spend-per-customer collector segment",C/ Tutor 43 5ºD 28008 Madrid. Email obfuscated on site - use the contact form. Strong collector / aficionado community on social.,
Pidecamisetas,e-tailer,online,1 (online),https://www.pidecamisetas.com/,info@pidecamisetas.com (unverified inferred pattern),Owner-operator,"Spanish online football jersey retailer; strong on La Liga, Premier League, NBA crossover; offers WC2026 selecciones personalisation - a natural prize fulfilment partner",Listed address Paseo Del Puerto 11310 Sotogrande San Roque (Cádiz). Customer support via WhatsApp + site form. Mark direct email pattern (unverified) - safer to submit via website contact.,
CamiClasica,e-tailer,online,1 (online),https://camiclasica.com/,via /en/pages/contact form,Owner-operator,"Online retro and vintage football jersey specialist; ships from Spain; small operation, likely receptive to a free promo angle around La Roja history shirts",No public phone listed. Contact form only. Founder-led operation.,
Subside Sports España,e-tailer,national + Latam,1 (online),https://www.subsidesports.es/,via /servicio-al-cliente form,Spanish customer team,"Spanish-language arm of Subside Sports; specialises in selecciones jerseys for Spain and all of Latin America; 4000+ products; ships to Spain (incl. Baleares + Canarias), Portugal, Argentina, Brazil, Chile, Peru, Colombia, Ecuador, Venezuela, México etc. - perfect multi-Hispanic WC2026 amplifier","Online since 1997. UK parent Subside Sports Ltd, ES-language arm dedicated to the Spanish-speaking market. No published direct email - use the customer service form.",
Futbolmania,independent,Barcelona flagship + online,1 flagship,https://www.futbolmania.com/,via /es/contactos form,Owner-operator,"Self-described 'la mayor tienda especializada en fútbol de España'; 2000+ m² Barcelona flagship on Ronda Sant Pau 25; full Nike/adidas WC2026 inventory and selecciones replicas; Madrid Puerta del Sol store closed but Barcelona remains anchor",Barcelona Ronda Sant Pau 25. Customer service +34 830 830 000. Madrid Yelp record marks CLOSED. IG @futbolmaniacom.,+34 830 830 000
