name,type,regions,store_count,website,best_contact_email,best_contact_role,why_target,notes,phone
Decathlon France,chain,national (all régions),320+,https://www.decathlon.fr/,contact@decathlon.com,"Service Client / Marketing France","Largest sporting goods retailer in France; ~320 stores nationally; will dominate WC2026 Adidas match ball + Les Bleus replica jersey sell-through; in-store kiosks could host a branded prediction pool",Owned by Association Familiale Mulliez (same group behind Auchan); HQ 4 Boulevard de Mons 59650 Villeneuve-d'Ascq; CEO Barbara Martin Coppola; press presse@decathlon.com; LinkedIn route via Decathlon France Marketing Director,+33 3 20 33 50 00
Intersport France,chain,national (incl. métropole + DOM-TOM),~700,https://www.intersport.fr/,serviceclients@intersport.fr,"Service Clients / Marketing Intersport France",Largest sports retail co-operative in France (~700 stores); independent owner-operators under a federated banner; each store can opt in to a WC2026 prediction pool without group-wide sign-off,"Co-operative form (Groupement Intersport France); HQ 2 rue Marie Curie, ZI La Chesnaie du Roy, 91070 Bondoufle; press contact presse@intersport.fr; group CEO Frédéric Eichelbrenner",+33 1 69 11 64 64
Sport 2000 France,chain,national,~600,https://www.sport2000.fr/,service-client@sport2000.fr,"Service Client / Sport 2000 France Marketing",~600 affiliated stores across France under the Sport 2000 banner; football boots and Les Bleus replica kit in every store; affiliate model means individual store managers control local promo,"Part of Sport 2000 International (German parent); French HQ 3 chemin du Jubin, 69570 Dardilly; group also operates Mondovélo, S2 and Sport Leader banners",+33 4 78 66 35 00
Go Sport France,chain,national,~150,https://www.go-sport.com/,serviceclient@go-sport.com,"Service Client / Marketing Go Sport",Mid-tier French chain rescued in 2023 by Groupe Hermione People & Brands; carries Les Bleus jersey + football boots; remaining ~150 stores after restructure; brand actively rebuilding so receptive to free awareness plays,"HQ 308 Rue Marco Polo, 38070 Saint-Quentin-Fallavier; CEO Patrick Puy (post-rescue); had administration proceedings 2023; new owner Hermione actively investing in marketing reset",+33 4 76 60 75 00
Foot Locker France,chain,national mall presence,~70,https://www.footlocker.fr/,via contact form on footlocker.fr,Service Client / Foot Locker EMEA,Global sneaker chain with strong WC2026 boot inventory (Nike, adidas, Jordan); ~70 stores in French shopping centres; carries lifestyle football crossover stock,"Parent Foot Locker Inc (US); EMEA HQ Vianen Netherlands; FR siège 1 Boulevard Vivier Merle 69003 Lyon; no public FR marketing email; route via EMEA marketing",
JD Sports France,chain,"national (Paris, Lyon, Marseille, Lille, regional centres)",~80,https://www.jdsports.fr/,serviceclient@jdsports.fr,"Service Client / JD Sports France Marketing",UK sneaker giant with rapid French rollout via Hannibal & Co acquisition + organic growth; strong Nike/adidas/Puma football boot inventory; high mall foot traffic; recently opened Champs-Élysées flagship,"Parent JD Sports Plc (UK); FR HQ via JD Sports France SAS; expanded after acquiring Hannibal & Co (Chausport) in 2018; group escalation customerchampions@jdplc.com",
Citadium,chain,"Paris (Caumartin, Beaubourg, Les 4 Temps), Lille, Lyon, Marseille, Bordeaux, Toulouse, Strasbourg",16,https://www.citadium.com/,serviceclient@citadium.com,"Service Client / Marketing Citadium",Premium streetwear + sneaker chain owned by Groupe Printemps; carries lifestyle football crossover (Nike, adidas, Jordan, off-pitch ranges); central Paris flagships at Caumartin and Beaubourg pull huge foot traffic,"Owned by Groupe Printemps (Qatari ownership via Divine Investments); HQ 27 rue Caumartin 75009 Paris; CEO Jean-Marc Bellaiche oversees parent; press press@citadium.com",+33 1 55 31 74 00
Snipes France,chain,"Paris, Lyon, Marseille, Lille, Strasbourg, Toulouse, Nice, Nantes",~35,https://www.snipes.fr/,kundenservice@snipes.com,"Service Client / Snipes France Marketing",German sneaker + streetwear chain (parent Sport Group / Deichmann); growing French footprint with ~35 stores; strong Nike Tiempo / adidas Predator + Jordan crossover stock; strong urban / youth football culture overlap,"Parent Snipes SE (Cologne Germany); ultimate owner Deichmann SE; FR HQ via Snipes France SAS Paris; press press@snipes.com",
Courir,chain,national,~200,https://www.courir.com/,serviceclient@courir.com,"Service Client / Marketing Courir","Largest French sneaker specialist; ~200 stores across France; carries Nike/adidas/Puma/Jordan including football lifestyle drops; recently acquired by JD Sports Plc (2024); rapidly modernising loyalty programme","HQ 8 Rue Marc Seguin 77290 Mitry-Mory; acquired by JD Sports Plc in 2024 (~€520m); CEO Pierre-André Mestre; press contact via group comms",+33 1 60 21 50 00
Sneakers Distribution / Sneakers.fr,chain,national,30+,https://www.sneakers.fr/,contact@sneakers.fr,"Service Client / Sneakers France","French sneaker specialist; carries Nike, adidas, Puma football boot drops + lifestyle ranges; smaller national footprint but loyal repeat-customer base",Independent operator; check most recent ownership disclosures on Pappers,
Sarenza,e-tailer,national (online only),0,https://www.sarenza.com/,serviceclient@sarenza.com,"Service Client / Marketing Sarenza","Major French online footwear retailer; carries Nike Mercurial, adidas Predator, Puma Ultra football boots; large women's audience overlap with Les Bleues",Founded 2005; acquired by Monoprix (Groupe Casino) 2018; HQ Paris; pivoted to wholesale partnership model post-2020,
Foot.fr,e-tailer,national (online + Strasbourg fitting),0,https://www.foot.fr/,contact@foot.fr,Service Client / Owner-operator,"Pure-play French football specialist; football boots only (adidas, Nike, Puma, New Balance, Mizuno, Umbro, Joma); pre-order programmes around new releases; runs Strasbourg fitting service",Operator: Foot.fr SAS Strasbourg; small team owner-operated scale; receptive to performance-based promo,
Footkorner,e-tailer,national (online only),0,https://www.footkorner.com/,contact@footkorner.com,Service Client / Owner-operator,French football-boots e-tailer; deep catalogue across adidas/Nike/Puma/New Balance/Mizuno; explicit WC2026 marketing already running on landing page; pre-order culture aligns with prediction pool hype loop,"HQ in Marseille area per Pappers filing; SAS structure; phone +33 4 91 84 86 60",+33 4 91 84 86 60
Footland,e-tailer,national (online only),0,https://www.footland.fr/,info@footland.fr,Service Client / Owner-operator,French football specialist e-tailer; focused exclusively on football boots and pads; strong SEO presence on 'crampons foot' queries; small team so quick decisions,Operator Footland SAS; small-scale owner-operator; (unverified) info@ pattern based on site footer,
Football Factory FR,e-tailer,national (online),0,https://www.footballfactory.fr/,via contact form on footballfactory.fr,Service Client / Owner-operator,"French football boots e-tailer; carries adidas, Nike, Puma, New Balance; ships Europe-wide; smaller scale so receptive to free engagement tools",Operator details via Pappers; contact form is the published route,
Foot Discount,e-tailer,national (online),0,https://www.footdiscount.com/,contact@footdiscount.com,Service Client / Owner-operator,French discount football retailer; price-led positioning attracts the casual fan segment that aligns with free-to-play prediction pool funnel,"HQ in Roubaix region per registry; (unverified) contact@ pattern",
Sport24 / Tousports,e-tailer,national (online),0,https://www.tousports.com/,contact@tousports.com,Service Client / Owner-operator,French multisport e-tailer with strong football category; broad brand mix; secondary inventory channel for casual fans buying Les Bleus jerseys online,Independent operator; (unverified) contact@ pattern based on site domain,
Sport-Cool,e-tailer,national (online),0,https://www.sport-cool.fr/,contact@sport-cool.fr,Service Client / Owner-operator,Independent online football retailer; football boots and supporter ranges; small team; price-competitive positioning,"(unverified) contact@ pattern; small independent based per WHOIS",
Boutique Officielle FFF,club-retail,online + matchday Stade de France popups,0,https://store.fff.fr/,contact@fff.fr,"FFF Commercial / Marketing Direction",Official store of the Fédération Française de Football (operator of Les Bleus + Les Bleues); carries the official Nike Les Bleus WC2026 home/away kits; closest-to-source partner for any France-WC engagement play; runs by Lagardère Sports / SPORTFIVE,"FFF HQ 87 Boulevard de Grenelle 75738 Paris Cedex 15; commercial via SPORTFIVE (ex Lagardère Sports); press dircom@fff.fr; one yes here = sanctioned WC2026 angle",+33 1 44 31 73 00
PSG Store Champs-Élysées,club-retail,Paris (Champs-Élysées flagship + Parc des Princes + 6 other PSG stores),~8,https://store.psg.fr/,via contact form on store.psg.fr,Club Commercial / PSG Retail,"Paris Saint-Germain flagship at 27 Champs-Élysées; the highest-foot-traffic football retail in France; carries Jordan x PSG, Mbappé legacy stock, full Ligue 1 + Champions League replicas","Operated by Paris Saint-Germain Football SASP (QSI ownership); commercial dir Marc Armstrong; retail led by Fabien Allègre (Brand Diversification); press contact press@psg.fr",+33 8 25 07 50 78
