name,country,confederation,wc2026_status,website,best_contact_email,best_contact_role,languages_spoken,affiliated_clubs_estimate,why_target,notes,phone
FIFA,Global,FIFA,Global,https://inside.fifa.com/,https://inside.fifa.com/organisation/contact-fifa/contact-form,General Secretariat,"en,fr,es,de,ar,ru,pt",211 MAs,Parent body; one-in-a-million long-shot but worth a single comms-team email for legitimacy,form-only; HQ Zurich; do not expect a reply but the request is logged,
UEFA,Continental,UEFA,Confederation,https://www.uefa.com/,media@uefa.ch ; media.accreditations@uefa.ch,Media Services,"en,fr,de,es,it",55 MAs,European confederation; if even one comms officer forwards us to UEFA Together we reach all 55 MAs at once,Public media inbox is genuinely monitored,
CONMEBOL,Continental,CONMEBOL,Confederation,https://www.conmebol.com/,prensa@conmebol.com,Direccion de Comunicaciones,"es,pt,en",10 MAs,South American confederation; press-relations team is small and accessible,Email format first-initial-last@conmebol.com inferred; prensa@ is the published intake,
CONCACAF,Continental,CONCACAF,Confederation,https://www.concacaf.com/,mediahub@concacaf.org,Communications,"en,es,fr",41 MAs,Caribbean+Central+North America; runs Gold Cup so understands tournament-promo asks,Miami HQ,
CAF,Continental,CAF,Confederation,https://www.cafonline.com/,mediachannel@cafonline.com,CAF Media Hub,"en,fr,ar,pt",54 MAs,African confederation; Cairo HQ; published media inbox,Slow to respond but does forward,
AFC,Continental,AFC,Confederation,https://www.the-afc.com/,info@the-afc.com,Media Services,"en,ar,zh,ja,ko",47 MAs,Asian confederation incl. Australia; Kuala Lumpur HQ; large media-services unit,Use the published contact form if info@ bounces; AFC has multiple media subsidiaries,
OFC,Continental,OFC,Confederation,https://www.oceaniafootball.com/,info@oceaniafootball.com,Communications,"en,fr",11 MAs,Oceania confederation; Auckland HQ - shares postcode with NZ Football,Tiny confederation; very responsive,
The Football Association,GB-ENG,UEFA,Qualified,https://www.thefa.com/,Media.Relations@TheFA.com,Media Relations,en,"~1,200 clubs senior + 50 county FAs",WC26 qualifier; reaches all 50 county FAs via internal comms,County FAs (Berks,, Surrey etc.) are the better grassroots layer; FA forwards selectively,
Federation Francaise de Football (FFF),FR,UEFA,Qualified,https://www.fff.fr/,communication@fff.fr,Directeur de la communication,fr,"~14,000 clubs",WC26 qualifier; massive amateur base via 13 Ligues regionales,Director Alexandre Chamoret; FFF blocks third-party promo unless via licensed partner - frame as fan-engagement not gambling,
Deutscher Fussball-Bund (DFB),DE,UEFA,Qualified,https://www.dfb.de/,info@dfb.de,Direktion Kommunikation,de,"~24,000 clubs (largest in world)",WC26 qualifier; world's largest FA by club count; DFB-Akademie social channels,Filter sponsorship via DFL Bundesliga; go via the 21 Landesverbande for grassroots,
Real Federacion Espanola de Futbol (RFEF),ES,UEFA,Qualified,https://rfef.es/,rfef@rfef.es ; prensa@rfef.es,Direccion de Comunicacion,es,"~21,000 clubs",WC26 qualifier; 19 territorial federations underneath,Las Rozas HQ; prensa@ is a real monitored inbox,
Federazione Italiana Giuoco Calcio (FIGC),IT,UEFA,Strong-culture-non-qualifier,https://www.figc.it/,tesseramento@figc.it,Ufficio Stampa,it,"~12,000 clubs",Missed WC26 but huge club culture; Euro 2024 still fresh; Italian diaspora target,Press office director Paolo Corbi; no public press email - main inbox is tesseramento@,
Federacao Portuguesa de Futebol (FPF),PT,UEFA,Qualified,https://www.fpf.pt/,info@fpf.pt,Direcao de Comunicacao,"pt,en","~1,800 clubs",WC26 qualifier; Portugal+ international engagement platform shows openness to digital partners,FPF runs portugal.fpf.pt for diaspora - good fit,
Koninklijke Nederlandse Voetbalbond (KNVB),NL,UEFA,Qualified,https://www.knvb.com/,communicatie@knvb.nl,Media & Communicatie,"nl,en","~3,000 clubs",WC26 qualifier; Oranje is national religion; KNVB Campus runs structured comms,Zeist HQ; uses media-contacts page rather than open email - try communicatie@ first,
Croatian Football Federation (HNS),HR,UEFA,Qualified,https://hns.family/,info@hns-cff.hr,Communications,"hr,en","~1,800 clubs",WC26 qualifier; 2018 and 2022 finalist; Vatreni are a major brand,Zagreb HQ; HNS runs 21 county football associations,
Football Association of Norway (NFF),NO,UEFA,Qualified,https://www.fotball.no/,nff@fotball.no,Kommunikasjon,"nb,en","~1,800 clubs",WC26 qualifier (first since 1998); Haaland-driven national enthusiasm,Ullevaal Stadion HQ; very digital-forward,
Svenska Fotbollforbundet (SvFF),SE,UEFA,Qualified,https://www.svenskfotboll.se/,svff@svenskfotboll.se,Kommunikation,"sv,en","~3,200 clubs",WC26 qualifier (returns after 2018 absence); Allsvenskan + national diaspora target,Solna HQ,
Belgian FA (URBSFA/KBVB),BE,UEFA,Qualified,https://www.rbfa.be/,communication@rbfa.be,Communications,"fr,nl,de,en","~2,000 clubs",WC26 qualifier; Red Devils still major Euro brand,Tubize HQ; trilingual country - sub-federations ACFF (Wallonia) + Voetbal Vlaanderen,
Austrian Football Association (OFB),AT,UEFA,Qualified,https://www.oefb.at/,office@oefb.at ; presse@oefb.at,Presse,de,"~2,300 clubs",WC26 qualifier; Vienna HQ; Rangnick-era enthusiasm,9 Landesverbande underneath,
Scottish FA (SFA),GB-SCT,UEFA,Strong-culture-non-qualifier,https://www.scottishfa.co.uk/,info@scottishfa.co.uk,Communications,en,"~6,000 clubs",Missed WC26 but Tartan Army is one of the loudest fanbases on earth,Hampden Park HQ; 6 regional associations,
Football Association of Wales (FAW),GB-WLS,UEFA,Strong-culture-non-qualifier,https://faw.cymru/,info@faw.org.uk,Communications,"cy,en","~1,000 clubs",Missed WC26; Red Wall fanbase grew massively in 2022,Cardiff HQ,
