name,type,regions,store_count,website,best_contact_email,best_contact_role,why_target,notes,phone
Sport Zone,chain,national (mainland + Madeira + Azores),81,https://www.sprintersports.com/pt,via contact form on sprintersports.com/pt,JD Group / ISRG Iberia commercial team,"Largest sports chain in Portugal at 81 stores; will be the dominant retailer of WC2026 adidas match ball and Selecção das Quinas replica kits; Ronaldo + golden generation halo drives huge in-store traffic in the lead-up","HQ Maia (former Sonae campus); 100% owned by JD Sports Fashion plc since Oct 2023 via Iberian Sports Retail Group (ISRG); Sport Zone brand kept in Portugal, Sprinter in Spain; Sonae sold its 29.9% stake for EUR300m in 2023; sister brands JD, Sprinter, Size?",
Decathlon Portugal,chain,"national (Amadora/Alfragide, Lisboa Centro, Lisboa Oriente, Cascais, Loures, Sintra, Montijo, Porto Boavista, etc.)",34,https://www.decathlon.pt/,via contact form on decathlon.pt/landing/contactenos,"Javier López (group CEO 2025) / João Manuel Rodrigues (Diretor Regional Portugal)","34 stores + 1,600 staff in Portugal; first store opened in Alfragide year 2000 with 5,000sqm + Sports Park; carries Kipsta own-brand football boots and balls, plus Selecção replica kits","HQ Amadora (Alfragide flagship); part of Decathlon SA (France); Alfragide phone 214706700; group CEO Javier López appointed March 2025; in-store Sports Park with football fields makes them WC2026-themed activation friendly",+351 21 470 6700
JD Sports Portugal,chain,"national (Lisboa, Porto, Coimbra, Aveiro, Braga, Faro)",12,https://www.jdsports.pt/,via contact form on jdsports.pt/customer-service/contact,Customer Service / NZ Marketing (JD Group Iberia),"12 stores nationwide under JD Group / ISRG Iberia umbrella; sibling brand to Sport Zone post-2023; strong Nike, adidas and Puma football boot inventory; mall-anchored at NorteShopping, Vasco da Gama, Colombo, MAR Shopping Matosinhos, UBBO, Centro Vasco da Gama","Part of JD Sports Fashion plc (UK); operated via ISRG Iberia alongside Sport Zone; NorteShopping anchor store opened 2023; new Parque Nascente store opened 2024; escalation customerchampions@jdplc.com",
Foot Locker Portugal,chain,"national (Lisboa 5, Porto 3, Faro 1, Santarém 2)",~11,https://www.footlocker.pt/,via help.footlocker.eu/hc/en-pt,Customer Service / EU Marketing,"Global sneaker giant; carries WC2026 adidas + Nike replica jerseys, Mercurial / Predator / Phantom boots; flagship at Rua do Carmo Lisboa with mass tourist + local foot traffic","No public PT marketing email; EU help center at help.footlocker.eu; parent Foot Locker Inc (US); Lisboa Rua do Carmo +351 213 220 0634; Lisboa Av das Descobertas +351 219 834 322; Av Lusíada +351 21 060 4042",+351 213 220 0634
Sportino,chain,"Lisboa (Av República, Restauradores, Chiado) + Caldas da Rainha HQ + online",4+,https://www.sportino.pt/,apoioaocliente@sportino.pt,Owner-operator (Caldas da Rainha based),"Portuguese-owned sports + sneakers + streetwear retailer carrying 100+ brands incl. adidas, Nike, Puma football boots and replica kits; new Chiado store is a Pombaline-baixa flagship driving local + tourist traffic","HQ Estrada da Foz - Nacional 360 nº 24-A, 2500-098 Caldas da Rainha; Av República +351 21 793 1919; mobile/WhatsApp +351 963 993 113; support hours Mon-Fri 9-13 / 14-18",+351 21 793 1919
Sport is Good,e-tailer,online (PT + Iberia),0 (online),https://sportisgood.pt/,contact@sportisgood.pt,SPACEFOOT SAS (parent),"Multi-brand online football specialist running 20+ sub-stores (Foot-Store, Sneak'In, Basket-Center, Training-Fit, etc.); carries WC2026 replica kits, vintage / retro Portugal shirts, Kipsta, Nike, adidas, Puma","Parent SPACEFOOT SAS, 36 rue Raspail 92300 Levallois-Perret France; PT site is the local front of the group; phone +33 1 86 47 62 58; one yes here unlocks the whole portfolio of niche stores at once",
Foot-Store,e-tailer,online (PT),0 (online),https://foot-store.pt/,contact@sportisgood.pt,SPACEFOOT SAS,"Football-only sub-brand of Sport is Good group; sells boots, jerseys, balls and team kit; fast delivery to mainland Portugal","Operated by SPACEFOOT SAS (France) under sportisgood.pt umbrella; same contact stack; pure football targeting makes WC2026 messaging an easy fit",
Forca Portugal,chain,"Lisboa (Praça da Figueira, Rua Augusta), Porto (Clérigos, Santa Catarina), Algarve coast, Madeira",~20,https://www.fportugal.com/,info@fportugal.com,Comércio Têxtil Atlantic Sud Lda (parent),"Portuguese-owned chain carrying official kit for the Selecção das Quinas, FC Porto, SL Benfica, Sporting CP, and CR7 product lines; tourist-heavy locations on Rua Augusta, Praça da Figueira, Clérigos; one of the strongest single brand fits in this list","HQ Rua Parque Industrial Lote 1 nº70, 4755-481 Rio Covo Santa Eulália, Barcelos; phone +351 928 141 773; trading as Comércio Têxtil Atlantic Sud Lda; WhatsApp + FB Messenger available",+351 928 141 773
Futbol Emotion Porto,specialist,Porto (Alameda Shop & Spot),1 + national online,https://www.futbolemotion.com/pt/,porto@futbolemotion.com,Store Manager Porto,"Spanish football-specialist chain; Porto store is its only PT flagship; deeply football-focused inventory (boots, GK kit, futsal, replica jerseys, custom printing); ideally aligned to WC2026 hype window","Porto store +351 220 196 866; group customer service customerservice@futbolemotion.com; parent Soloporteros SL (Zaragoza ES); Alameda Shop & Spot Rua dos Campeões Europeus 28-198, 4350-414 Porto",+351 220 196 866
KELME Portugal,distributor / specialist,Alfena (Valongo) HQ + national online,1 + national online,https://kelmeportugal.com/,online@geracaoaudaciosa.pt,Geração Audaciosa Lda (PT distributor since 2013),"Portugal's official Kelme football distributor; supplies Boavista FC official kit (axadrezada) + supporters merch; brand also fitting Liga 3 / Campeonato de Portugal clubs across the country; B2B reach into dozens of clubs","HQ Rua da Argila 141, 4445-027 Alfena (Valongo); phone +351 224 008 084; operating since 2013; also operates Loja Axadrezada at Bessa stadium; B2B kit deal route unlocks Boavista + Liga 3 club channels at once",+351 224 008 084
