name,type,regions,store_count,website,best_contact_email,best_contact_role,why_target,notes,phone
Decathlon Nederland,chain,"national (Amsterdam, Rotterdam, Den Haag, Utrecht, Eindhoven, Groningen and more)",~25,https://www.decathlon.nl/,klantenservice@decathlon.com,Customer Service / Pers via Persberichten page,"Largest sports big-box in NL with own-brand Kipsta football line plus Nike/adidas; will be the volume retailer for Oranje WC2026 replica kit, shin guards and training balls; press team actively pushes campaigns through decathlon.nl/Persberichten","Operated by Decathlon Netherlands BV (KvK 34306685). HQ Hoogoorddreef 15 Gebouw Amerika, 1101 BA Amsterdam. NL email format first@decathlon.nl per RocketReach (unverified). Press releases hub at decathlon.nl/Persberichten_lp-9NANWG.",085 0003 637
Intersport Nederland,franchise,"national (~60 stores incl. Hoevelaken, Amersfoort HQ + Twin Sport family franchises)",~60,https://www.intersport.nl/,klantenservice@intersport.nl,Customer Service / Group Marketing,"Largest sports franchise co-op in NL via INTERSPORT Nederland BV; member stores carry Nike/adidas/Puma WC2026 boots and replica kits; co-op model means individual franchisees can sign up to a prediction-pool promo without head-office bottleneck","HQ Modemweg 29-35, 3821 BS Amersfoort plus office Koninginneweg 1, 3871 JZ Hoevelaken. WhatsApp 06-23959425. Paul Segers is Marketing en E-commerce Manager (per RocketReach). Twin Sport family franchise also runs Intersport Twinsport sites in Amsterdam Buitenveldert and elsewhere.",033 253 2533
Foot Locker Nederland,chain,"national mall presence (Amsterdam, Rotterdam, Utrecht, Eindhoven, Den Haag and more)",~50,https://www.footlocker.nl/,vragen@footlocker.eu,Customer Service / EMEA Marketing,"Mall-anchored sneaker giant; carries WC2026 Adidas + Nike replica jerseys and lifestyle football crossover; EMEA HQ moved to Creative Valley Utrecht so NL marketing decisions are local","Foot Locker Europe.com BV (KvK 30181126). Legal HQ Ir. D.S. Tuijnmanweg 3-5, 4131 PN Vianen; EMEA office now Creative Valley Utrecht near Centraal Station. Phone 0347-805000. Klantenservice mailbox vragen@footlocker.eu services all EMEA so a NL-marketing inbox is not public.",0347 805000
JD Sports Nederland,chain,"national (Rotterdam, Amsterdam, Utrecht, Den Haag and more)",~30,https://www.jdsports.nl/,onlinehulp@jdsports.nl,Customer Service / NL Marketing,"UK sneaker chain with deep WC2026 Nike/adidas/Puma boot and replica jersey stock; mall foot traffic; growing NL footprint post-Aktiesport vacuum","NL HQ Lijnbaan 77 Rotterdam. Group HQ JD Sports Fashion Group plc, Hollinsbrook Way, Pilsworth, Bury BL9 8RR (UK). Escalation Privacy.Support@jdplc.com. NL marketing manager name not public on website; LinkedIn search likely surfaces.",
Snipes Nederland,chain,"national (Amsterdam, Rotterdam, Utrecht, Den Haag, Eindhoven and more)",~25,https://www.snipes.com/nl-nl,klantenservice@snipes.nl,Customer Service / NL Marketing,"Streetwear sneaker chain with strong Nike/adidas football lifestyle crossover (Mercurial, Predator); Snipes Clique loyalty programme already runs sneaker drops, so WC2026 prediction overlay is a natural fit","Snipes Nederland BV. HQ Van Liemptstraat 10, 5145 RB Waalwijk. Phone 088 864 23 23. Owned by Sumolight Holding / Deichmann group (DE).",088 864 2323
Sports World (Frasers Group),chain,"national (Amstelveen, Amsterdam Johan Cruijff Boulevard, Arnhem, Almere, Assen, Breda, Nijmegen, Tilburg, Zwolle)",~18 (Sports World + Sports Direct fascias),https://www.sportsworld.nl/,via help.sportsworld.nl contact form,Frasers Group NL Marketing / Accent partner,"Frasers Group's post-Perry Sport NL play; opened 9 new Sports World stores in 2024 incl. flagship at Johan Cruijff Boulevard 51 Amsterdam (the Ajax precinct); deep replica kit and boot stock from Everlast, Slazenger, Karrimor plus adidas/Nike","Operates ex-Perry Sport / Aktiesport / Sprinter / Twin Sport real estate post-acquisitions 2024-2025. Frasers Group acquired Twin Sport BV May 2024 (ACM approval) and took 10+ Sprinter sites. NL retail brand consolidates under 'Sports Direct' / 'Sports World' fascias. Help centre help.sportsworld.nl handles klantenservice.",
Sport 2000 Nederland,franchise,"national (Bene Sita Trading BV co-op, ~50 members)",~50,https://www.sport2000.nl/,klantenservice@sport2000.nl,Customer Service / Group Marketing,"NL arm of European Sport 2000 co-op; member stores carry adidas/Nike/Puma football kit; each franchisee runs own marketing budget so opt-in is fast","Trading entity Bene Sita Trading BV. HQ Buizerdlaan 6, 3435 SB Nieuwegein. Klantenservice Monday-Saturday 09:00-16:00. Sport 2000 stores often co-located with running specialists.",088 544 0500
DAKA Sport & Lifestyle,chain,"national (~17 stores incl. Rotterdam, Den Haag, Capelle aan den IJssel and more)",~17,https://www.daka.nl/,via klantenservice form on daka.nl,Customer Service / Marketing Manager,"NL-owned 17-store chain plus webshop; stocks football boots and Oranje replica kit; HQ in Capelle aan den IJssel handles all NL marketing decisions so single point of contact","Trading entity Daka Sport BV. HQ Dalkruidbaan, Capelle aan den IJssel. Klantenservice 010 262 0971. Strong Rotterdam region presence so natural Feyenoord adjacency.",010 262 0971
Score,chain,"national (Maastricht, Groningen, Eindhoven and more)",~12,https://score.nl/,info@score.nl,Customer Service / Head Office,"Score Retail Nederland BV streetwear-meets-sport chain; carries Nike/adidas football lifestyle and replica kits; strong student-city footprint (Maastricht, Groningen) means high WC2026 engagement","Score Retail Nederland BV based Tilburg. Stores Kleine Staat 14 Maastricht (043-326 2808) and Herestraat 52B Groningen (050-311 0708). Thursday late opening to 21:00. Streetwear angle good for younger demographic.",043 326 2808
Voetbalshop.nl,e-tailer,"national online + showroom Utrecht (also Amsterdam, Alkmaar, Groningen warehousing entities)",1 HQ + national delivery,https://www.voetbalshop.nl/,klantenservice@voetbalshop.nl,Customer Service / Teamwear Sales,"Self-styled 'grootste voetbalwinkel van Nederland'; runs official KNVB Teamwear Programme into amateur clubs; massive Oranje + international team replica catalogue; teamwear team already has direct lines to club committees","Operated by Badge Direct BV (KvK 30119164). HQ Krommewetering 31-41, 3543 AP Utrecht. Teamwear inbox teamwear@voetbalshop.nl. Sister sites Voetbalshop.be (BE) and Subside Sports. Powers Voetbalshop fanshop pages for all Eredivisie clubs.",088 004 0144
