name,tier,region,website,best_contact_email,best_contact_role,why_target,notes,phone
Canada Soccer (CSA),federation-national,Ottawa ON,https://www.canadasoccer.com/,info@canadasoccer.com,General Office / Communications,National federation for both Men's and Women's national teams; WC2026 co-host federation with direct fan-engagement remit,HQ Ottawa ON; covers grassroots through national; alt media@canadasoccer.com; one yes routes through 13 provincial/territorial associations,613-237-7678
Toronto FC,pro-mens-mls,Toronto ON,https://www.torontofc.ca/,fanservices@torontofc.ca,Fan Services / Member Relations,Plays out of BMO Field which hosts Canada's WC2026 opener; Maple Leaf Sports & Entertainment owned with largest Canadian MLS fanbase (Reds supporters group + Inebriatti),Owned by MLSE alongside Leafs/Raptors; 1+ million social following; escalate via MLSE partnerships@mlse.com; HQ 170 Princes' Blvd Toronto ON M6K 3C3,416-360-4625
CF Montréal,pro-mens-mls,Montréal QC,https://www.cfmontreal.com/,clientservices@cfmontreal.com,Service à la clientèle / Client Services,Olympic Stadium is the contingency WC2026 venue; bilingual French/English fanbase; Ultras Montréal supporter group is the most active in MLS east,Saputo family owned; HQ Stade Saputo 4750 rue Sherbrooke Est Montréal QC; English alt cs@cfmontreal.com; partnerships partenariats@cfmontreal.com,514-328-3668
Vancouver Whitecaps FC,pro-mens-mls,Vancouver BC,https://www.whitecapsfc.com/,info@whitecapsfc.com,General Office / Fan Services,BC Place is one of two confirmed Canadian WC2026 venues; Southsiders + Curva Collective supporter culture is established and tech-savvy,Greg Kerfoot ownership group; HQ 800 Griffiths Way Vancouver BC V6B 6G1; alt partnerships partnerships@whitecapsfc.com,604-669-9283
Atlético Ottawa,pro-mens-cpl,Ottawa ON,https://atleticoottawa.canpl.ca/,info@atleticoottawa.ca,General Office / Fan Engagement,Atlético Madrid-owned CPL side in WC2026 host country capital; tight community ties at TD Place,Owned by Atlético Madrid since 2020; HQ TD Place 1015 Bank St Ottawa ON; alt boxoffice@atleticoottawa.ca,613-232-6767
Cavalry FC,pro-mens-cpl,Calgary AB,https://cavalryfc.canpl.ca/,info@cavalryfc.ca,General Office,Calgary-based CPL side with ATCO Field at Spruce Meadows; strong western Canadian football market that needs WC2026 engagement vehicle,Owned by Spruce Meadows / Southern family; alt boxoffice@cavalryfc.ca; Tommy Wheeldon Jr long-time head coach,403-974-4400
Forge FC,pro-mens-cpl,Hamilton ON,https://forgefc.canpl.ca/,info@forgefc.ca,General Office / Marketing,Most successful CPL club (4x champions); Tim Hortons Field anchor with CONCACAF Champions Cup exposure,Owned by Bob Young (Hamilton Tiger-Cats); HQ Tim Hortons Field 64 Melrose Ave N Hamilton ON; alt media@forgefc.ca,905-547-2287
HFX Wanderers FC,pro-mens-cpl,Halifax NS,https://hfxwanderers.canpl.ca/,info@hfxwanderers.ca,General Office,Only Maritimes pro club; passionate Privateers 1882 supporters group at Wanderers Grounds; Atlantic Canada has zero other WC2026 pool options,Owned by Sports & Entertainment Atlantic; HQ 5816 Cogswell St Halifax NS; alt tickets@hfxwanderers.ca,902-407-4825
Pacific FC,pro-mens-cpl,Langford BC,https://pacificfc.canpl.ca/,info@pacificfc.ca,General Office,Vancouver Island CPL side at Starlight Stadium; complements Whitecaps coverage in BC,Owned by Rob Friend / Josh Simpson group; HQ 1089 Langford Pkwy Langford BC; alt boxoffice@pacificfc.ca,778-265-7222
Valour FC,pro-mens-cpl,Winnipeg MB,https://valourfootball.club/,info@valourfc.ca,General Office,Winnipeg Blue Bombers-affiliated CPL club at Princess Auto Stadium; Manitoba's only pro soccer franchise,Owned by Winnipeg Football Club; HQ 315 Chancellor Matheson Rd Winnipeg MB; alt tickets@valourfc.ca,204-784-2583
