name,tier,state,website,best_contact_email,best_contact_role,why_target,notes,phone
Confederação Brasileira de Futebol (CBF),CBF,RJ,https://www.cbf.com.br/,(use contact form a-cbf/contato/contato),Marketing/Comunicação,National governing body — long-shot but a single yes unlocks federation-wide pilot,Phone (21) 3572-1900; HQ Av Luis Carlos Prestes 130 Barra da Tijuca RJ,
Federação Paulista de Futebol (FPF),Federação Estadual,SP,https://www.fpf.org.br/,ouvidor@fpf.org.br,Ouvidoria / Diretoria de Comunicação,"Biggest state federation in Brazil — 700+ clubs, owns relationships with every Paulista tier",Phone (11) 94135-8669; HQ Rua Federação Paulista de Futebol 55 Barra Funda SP,
Federação Mineira de Futebol (FMF),Federação Estadual,MG,http://fmf.com.br/,comunicacao@fmf.com.br,Diretoria de Comunicação,Top 3 federation — Mineiro is one of most followed state leagues in country,Competições: mg.competicao@cbf.com.br; phone (31) 3071-7188,
Federação de Futebol do Estado do Rio de Janeiro (FERJ),Federação Estadual,RJ,https://www.fferj.com.br/,(use form /FaleConosco),Comunicação,Owns the Carioca pyramid (A1/A2/B1/B2/C) — biggest media market behind SP,Ouvidoria available at /ouvidoria,
Federação Gaúcha de Futebol (FGF),Federação Estadual,RS,https://www.fgf.com.br/,imprensa@fgf.com.br,Departamento de Comunicação / Imprensa,"Owns Gauchão + Divisão de Acesso; football-mad state, 100+ clubs",Phone (51) 3214-6034,
Federação Paranaense de Futebol (FPF-PR),Federação Estadual,PR,https://federacaopr.com.br/,(use form /contato),Comunicação,"Owns Paranaense + Segunda Divisão; Curitiba, Londrina, Maringá markets",,
Federação Bahiana de Futebol (FBF),Federação Estadual,BA,https://www.fbf.org.br/,fbf@fbf.org.br,Diretoria,Top NE federation; Bahia + Vitória + Série B/C feeder clubs,Alt: contato@fbf.org.br; phone (71) 3321-0448,
Federação Pernambucana de Futebol (FPF-PE),Federação Estadual,PE,https://www.fpf-pe.com.br/,fpf@fpf-pe.com.br,Diretoria / Comunicação,"NE football heartland — Sport, Santa Cruz, Náutico + A2/A3 pyramid",Phone (81) 3423-2122,
Federação Cearense de Futebol (FCF),Federação Estadual,CE,https://www.futebolcearense.com.br/,ouvidor@futebolcearense.com.br,Ouvidoria / Comunicação,Fortaleza + Ceará in top flight; deep A2 list,Phone (85) 3206-6500,
Federação Catarinense de Futebol (FCF-SC),Federação Estadual,SC,https://www.fcf.com.br/,(use site form),Comunicação,Strong state league + Avaí/Chape/Figueirense pull; futsal powerhouse,,
