name,type,regions,store_count,website,best_contact_email,best_contact_role,why_target,notes,phone
Centauro,chain,national (all 27 UFs),200+,https://www.centauro.com.br/,ri@centauro.com.br,"Grupo SBF Investor Relations / Marketing (route to Gustavo Furtado, VP and GM Centauro)","Maior rede esportiva da América Latina; 200+ lojas físicas + maior e-commerce esportivo do Brasil; vai dominar a venda da bola oficial Adidas Trionda e da camisa da Seleção Brasileira na Copa do Mundo 2026; controla também a operação Nike Store no país via Fisia",HQ Av. Dra. Ruth Cardoso 7221 Pinheiros São Paulo SP. Parte do Grupo SBF (B3:SBFG3) controlado pela família Bomfim. CEO holding Pedro Zemel; GM Centauro Gustavo Furtado. Grupo também opera ByTennis e Almax Sports. Email IR ri@gruposbf.com.br escala para o time corporativo.,
Fisia (Nike Brasil),chain,national,30+ Nike Store + e-commerce Nike.com.br,https://www.fisia.com.br/,ri@gruposbf.com.br,"Grupo SBF Investor Relations / Fisia commercial team","Distribuidora oficial e exclusiva da Nike no Brasil; opera todas as Nike Stores físicas e nike.com.br; Brasil é Nike no torneio de 2026 via vários clubes (Corinthians, seleções africanas) e o boot Mercurial vai ser pico de demanda durante a Copa",Divisão do Grupo SBF (mesmo dono da Centauro) desde 2020 por R$ 1 bilhão. Sede compartilhada Av. Dra. Ruth Cardoso 7221 Pinheiros São Paulo. CADE aprovou em 2020. CEO Pedro Zemel.,
Decathlon Brasil,chain,"national (50+ stores em SP, RJ, MG, PR, BA, DF, RS, SC, GO, PE, CE)",50+,https://www.decathlon.com.br/,assessoria.imprensa@decathlon.com.br,Assessoria de Imprensa / Marketing,"Maior rede esportiva multi-modalidade do Brasil em metragem; marcas próprias Kipsta (futebol) e Domyos; 2.000+ funcionários; entrou em 2001 e tem CD próprio e linha de montagem de bicicletas; perfeito para promo de pool com prêmio Kipsta de bola + chuteira",Razão social Iguasport Ltda (CNPJ 02.314.041). Sede administrativa Av. Pereira Barreto 1500 São Bernardo do Campo SP. SAC 0800 747 141; WhatsApp 11 94731 2606. Página oficial de imprensa em decathlon.com.br/servicos/assessoria-imprensa.,0800 747 141
Netshoes,e-tailer,national (online),0 (online only),https://www.netshoes.com.br/,incentivos@netshoes.com.br,Vendas Corporativas / Marketing (controlada Magazine Luiza),"Maior loja virtual de artigos esportivos do Brasil; vendida ao Magalu em 2019 por US$62M; operação shoptimao.com.br (loja oficial do Corinthians) é dela; tráfego brutal durante a Copa; perfeita para overlay de prediction pool no checkout",Sede Rua Vergueiro 943 Liberdade São Paulo SP 01504-001. Parte do grupo Magazine Luiza (B3:MGLU3). Telefones 11 3028-5355 e 11 3070-6999. SAC via atendimento.netshoes.com.br.,+55 11 3028 5355
Authentic Feet,chain,"national (90+ lojas em shoppings SP, RJ, MG, PR, BA, DF, RS, PE, CE)",90+,https://www.authenticfeet.com.br/,via formulário em authenticfeet.com.br/institucional/atendimento,Central de Relacionamento / Marketing,"Uma das três maiores redes de sneaker/lifestyle esportivo do Brasil; fundada 1995 em SP; foco em chuteira Nike/Adidas/Puma + lifestyle de futebol; localização em shopping garante fluxo de torcedor no pré-Copa",Operada pela família fundadora há 30 anos. WhatsApp 15 99129-9963. Telefone loja-base 11 5523-0379. Sem CEO publicado direto; melhor canal é o formulário ou imprensa. Concorrente direto da Artwalk e da Centauro no segmento sneaker.,+55 11 5523 0379
Artwalk,chain,"national (Sul, Sudeste, Nordeste); 95+ lojas",95+,https://www.artwalk.com.br/,via formulário em artwalk.com.br/contato,Marketing / Central de Atendimento,"Maior rede de sneaker store do Brasil segundo a própria marca; 95+ lojas físicas; lifestyle Nike/Adidas/Jordan/Puma com forte categoria chuteira; público jovem urbano que é o core do torcedor da Copa",Sede Rua do Curtume 499 1º andar Lapa de Baixo São Paulo SP 05065-001. Horário de atendimento corporativo seg-sex 8h-19h. Vagas em artwalk.gupy.io sugerem time de marketing interno.,
Track&Field,chain,"national (~300 lojas próprias e franqueadas em SP, RJ, MG, BA, CE, PE, PR, RS)",300+,https://www.tf.com.br/,faleconosco@tf.com.br,SAC / Marketing,"Maior rede brasileira de moda esportiva listada na B3 (TFCO3); 300+ pontos de venda; público fitness/lifestyle; rodada de prediction pool em loja casa bem com a comunidade de corrida + futebol amador que ela já cultiva (circuito Track&Field Run Series)",Sede Rua Cipriano Barata 456 Ipiranga São Paulo SP 04205-000. CNPJ 59.418.806. Listada B3 desde 2020. CEO Frederico Wagner. Modelo misto loja própria + franquia simplifica conversão dos franqueados.,
World Tennis,chain,"national (300+ unidades em quase todos estados; foco SP, RJ, MG, DF, BA)",300+,https://www.wtennis.com.br/,via formulário em wtennis.com.br/central_de_atendimento,SAC / Marketing,"Maior rede especializada em tênis (sneakers) do Brasil; presente em quase todos os estados em shoppings e principais ruas de comércio; carrega forte mix de chuteira Nike/Adidas/Puma para a Copa",WhatsApp oficial 11 97777-9999. Sede em São Paulo. Não tem nome público de CEO disponível; melhor entrada é via formulário SAC ou Instagram @oficialworldtennis.,+55 11 97777 9999
Paquetá Esportes,chain,"RS, SC, RJ, SP, DF, MT, PR, BA, PE",30+,https://www.paquetaesportes.com.br/,via formulário em lojaspaqueta.com.br/fale-conosco,SAC / Marketing (Paquetá The Shoe Company),"Rede esportiva 30+ lojas em 9 estados; parte do grupo Paquetá Calçados que também opera Lojas Paquetá (moda) e Paquetá The Shoe Company; força no Sul + Centro-Oeste onde o torcedor de Grêmio/Inter/Cruzeiro/Atlético-MG mora",Sede Av. José Loureiro da Silva 1422 Gravataí RS 94010-180. Endereço logístico Rua dos Andradas 1342 Centro Histórico Porto Alegre. CNPJ 54.650.901/0001-58. Telefone +55 51 3945-1120. Bem posicionada para campanhas regionais Sul.,+55 51 3945 1120
Sport Atacado Brasil,e-tailer,national (online + atacado),0 (online),https://www.sofutebolbrasil.com/,via formulário no site,Owner-operator,"Loja especializada apenas em camisas de futebol oficiais (Nike, Adidas, Puma, Umbro, Under Armour, Kappa, Diadora, Topper); tagline 'Todas as Camisas, Todas as Paixões'; perfil ultra-target para pool de Copa",E-tailer puro de nicho. Inferir contato pela página /contato. Operação enxuta; tomada de decisão rápida.,
Magazine Luiza Esportes,e-tailer,"national online + Magalu Marketplace + 1.300+ lojas físicas Magalu",1.300+,https://www.magazineluiza.com.br/esporte-e-lazer/l/es/,via SAC Magazine Luiza no site,Time Magalu Marca Própria / Esporte e Lazer,"Maior varejista do Brasil (B3:MGLU3) com categoria Esporte e Lazer ativa e marca própria 'Magalu'; dona da Netshoes desde 2019; capilaridade nacional sem rival incluindo cidades médias do interior onde a Copa explode em bar/loja de bairro","Sede Franca SP. CNPJ 47.960.950/0001-21. Categoria esporte tem buyer dedicado; melhor entrada é via Netshoes (incentivos@netshoes.com.br) que coordena as duas marcas. Possível duplicação com Netshoes mas a operação física Magalu é canal separado.",
Adidas Brasil,chain,"national (15+ lojas próprias SP + outlets + e-commerce; sede Embu SP)",15+ próprias,https://www.adidas.com.br/,sac@adidas.com.br,SAC / Trade Marketing Brasil,"Marca da bola oficial WC2026 (Trionda) e fornecedora do Flamengo, Cruzeiro, Internacional, Grêmio, Palmeiras (linha PUMA é separada) entre outros; lojas próprias + e-commerce com lançamentos da Copa exclusivos",Sede Adidas do Brasil Ltda Rua Pataxós 241 Galpão 1 Jardim Magali Embu SP 06833-073. SAC 0800-823-4327 / 11 5546-3700. WhatsApp 11 3377-3118. Loja flagship Av. Roque Petroni Júnior 1089 (Morumbi Town Shopping).,0800 823 4327
Centauro Marketplace via Mosaico,e-tailer,"national online + integração 200+ Centauro físicas via 'compra online retire na loja'",national,https://www.centauro.com.br/,ri@gruposbf.com.br,Time Marketplace SBF (Mosaico),"O marketplace da Centauro abre porta para sellers de nicho (camisas retrô, club retail arms) usarem a vitrine 60M visitas/mês durante a Copa; entrada estratégica diferente da loja própria",Listado separadamente porque o canal seller tem brief comercial próprio (commission + onboarding). Mesma sede SBF Pinheiros.,
FutFanatics,e-tailer,national (online HQ Presidente Prudente SP),0 (online + showroom),https://www.futfanatics.com.br/,contato@futfanatics.com.br,FF Com Esportes Ltda - Owner / Marketing,"Loja online especialista em camisas de futebol oficiais (clubes brasileiros + europeus + seleções) desde 2012; tagline 'A Loja Oficial dos Fanáticos por Futebol'; público 100% torcedor; conversão alta em pool de Copa",Razão social FF Com Esportes Ltda CNPJ 05.328.923/0001-90. Sede Rodovia Arthur Boigues Filho 59 Presidente Prudente SP 19026-650. Telefone 18 3344-0404 / 11 4858-3500. Email financeiro 7financeiro@futfanatics.com.br.,+55 18 3344 0404
Mantos do Futebol,independent,national (mídia + e-commerce afiliado),0,https://mantosdofutebol.com.br/,via formulário no site,Editor / Comercial,"Maior site/mídia independente sobre camisas de futebol no Brasil; 169K seguidores no Instagram; não vende direto mas roteia para varejistas via review e afiliação; ideal como parceiro de mídia para divulgar pool de Copa e branded pools dos varejistas listados aqui","Site editorial + Instagram @mantosdofutebol.com.br. Não é loja, mas distribui audiência altamente qualificada (já mantém guia 'camisas Copa do Mundo 2026'). Estratégico para PR + amplificação.",
RetrôMania,independent,Vitória ES + e-commerce nacional,1 + online,https://loja.retromania.com.br/,contato@retromania.com.br,Owner-operator,"Maior fabricante e varejista de camisas retrô licenciadas no Brasil; linha oficial Brasil + clubes como Flamengo, Santos, Palmeiras, Vasco; 100% algodão premium; público colecionador disposto a gastar em prêmio de pool",Sede em Vitória ES. Telefone 27 3317-5554 / WhatsApp 27 99925-3452. Foco em produto licenciado oficial; já tem contratos com clubes. Boa narrativa de campanha 'camisa retrô da Seleção 1970 como prêmio'.,+55 27 3317 5554
Liga Retrô,independent,national (online HQ São Paulo),0 (online),https://www.ligaretro.com.br/,via formulário no site,Owner-operator,"E-tailer especialista em camisas retrô de clubes e seleções (Brasil, Fiorentina, Holanda, Itália); público colecionador; campanha de Copa pode usar prêmio retrô como gancho diferenciado vs camisa atual",Sede São Paulo. Time pequeno; tomada de decisão rápida. Boa entrada via Instagram DM se formulário não responder.,
Retrôgol,independent,Diadema SP + e-commerce nacional,1 + online,https://www.retrogol.com.br/,atendimento@retrogol.com.br,Owner-operator,"E-tailer dedicado a camisas retrô de clubes e seleções brasileiros e internacionais; produtos licenciados; público torcedor + colecionador; conversão alta para prêmio retrô",Telefone 11 4318-7000 / WhatsApp 11 97641-0089. Atendimento seg-sex 9h-16h30. Tem catálogo amplo (Brasil retrô + europeus).,+55 11 4318 7000
Cariocas FC,independent,"Rio de Janeiro (5 lojas físicas: Barra, Vicente de Carvalho, Campo Grande, Del Castilho, Nova Iguaçu) + online",5,https://www.cariocasfc.com.br/,sac@cariocasfc.com.br,Owner-operator / Marketing,"Maior multimarca dedicada exclusivamente aos quatro grandes do Rio (Flamengo, Vasco, Botafogo, Fluminense); 5 lojas físicas no RJ + e-commerce; loja parceira oficial Vasco/Botafogo; ponto de venda multi-clube ideal para pool de Copa","WhatsApp 21 93300-2632. Lojas em Barra (3442-4002), Vicente de Carvalho (3495-7028), Campo Grande (2414-7218), Del Castilho (2595-5382) e Nova Iguaçu (2303-8595). Multi-clube simplifica narrativa.",+55 21 93300 2632
Brechó do Futebol,independent,Porto Alegre + online,1 + online,https://brechodofutebol.com/,brechodofutebol@hotmail.com,Owner-operator,"Brechó especializado em camisas usadas e raras de futebol; público colecionador adulto Sul do Brasil; prêmio raro pode ser camisa Maradona 86 ou similar; pegada nicho",Atendimento WhatsApp seg-sab 13h-19h. Operação enxuta; conversa direta com dono.,
Mundo do Futebol,chain,"Curitiba (ParkShoppingBarigüi) + Foz do Iguaçu (Cataratas JL Shopping) + e-commerce",2+ online,https://www.mundodofutebol.com.br/,via Instagram @mundodofutebol DM,Owner-operator,"Rede especializada em artigos de futebol desde 1980 (45 anos); estoque Nike/Adidas/New Balance/Umbro/Puma/Reebok/Mizuno/Kappa; público torcedor Sul do Brasil; covers torcida Athletico, Coritiba, Paraná, Brasileira no Oeste",Loja física no shopping de maior renda de Curitiba. Sem email público; melhor entrada Instagram DM.,
Loja Oficial do Flamengo (Espaço Rubro Negro),club-retail,"national (100+ lojas oficiais; maior projeto de licenciamento do futebol brasileiro)",100+,https://www.espacorubronegro.com.br/,sac@lojaflamengo.com.br,SAC / Operadora MFPlai,"Flamengo tem a maior torcida do Brasil (40M+) e o maior projeto de varejo do futebol nacional; 100+ lojas oficiais; vestidos pela Adidas em 2026; pool da Loja do Flamengo seria a campanha individual de maior reach na Copa","Sede Av. Borges de Medeiros 997 Lagoa Rio de Janeiro RJ 22430-041. Telefone 21 3557-7478 seg-sex 9h-17h. Para abertura de loja oficial: MFPlai (operadora de varejo) telefone 21 2431-2553. CT George Helal Estrada dos Bandeirantes 25997 Vargem Grande.",+55 21 3557 7478
