name,type,regions,store_count,website,best_contact_email,best_contact_role,why_target,notes,phone
Decathlon Italia,chain,national (145 stores incl. Milano Roma Torino Napoli Palermo Bologna Firenze and most regional capitals),145,https://www.decathlon.it/,via support form on support.decathlon.it/contact,"Servizio Clienti / Marketing (Rossella Ruggeri, Marketing and Communication Director)",Largest sporting-goods chain in Italy with 145 stores; dominant retailer of the WC2026 Adidas Trionda match ball and adidas/Nike/Puma replica jerseys; Italian fans buy other-nation jerseys heavily during the World Cup as observers; brand-identity refresh under new Italian CEO Fulvio Matteoni positions partnership stories well,"HQ Decathlon Italia Srl, Viale Valassina 268, 20851 Lissone (MB). Parent Decathlon SA (Lille, France). CEO Italia Fulvio Matteoni. PEC decathlonitalia@pec.it. Pattern firstname.lastname@decathlon.com (unverified for individuals).",+39 02 400 50 000
Cisalfa Sport,chain,"national (Lazio HQ but 150+ stores across 18 regions incl. Lombardia, Veneto, Emilia-Romagna, Toscana, Campania, Sicilia, Sardegna)",150,https://www.cisalfasport.it/,partner@cisalfagroup.com,Partnership / Corporate Communications (Cisalfa Group),Italy's largest sporting-goods retailer by Italian ownership; over 240 stores including the new Intersport Superstore format; one yes here unlocks national WC2026 coverage on top of continuing Serie A season cross-promo; group CEO Carlo Cisalfa,"Cisalfa Group HQ Via Lega Lombarda 1, 24035 Curno (BG). Parent Cisalfa Sport SpA. Owns Intersport Italia, Tecnosport 2.0, Endeka Sport 2023, plus Sport Voswinkel and SportScheck in Germany. Press inbox media@cisalfagroup.com. HR Director Cristian Arcari. Email pattern lastname.f@cisalfasport.it.",+39 035 437 6020
Intersport Italia,franchise,"national (250+ affiliated stores across 120 retail partners incl. Longoni Sport, DF Sport Specialist, Maxi Sport)",250,https://www.intersport.it/,partner@cisalfagroup.com,Buying-group head office (Intersport Italia SpA),Buying-group co-op of 120 independent retailers running 250+ stores; under the Cisalfa Group umbrella since 2022; member stores have local marketing freedom so a head-office green light cascades to every member's window for WC2026,"HQ Bologna; warehouse outsourced to Snatt Logistica (Castelnovo Sotto). Subsidiary of ICC Intersport International Corp (Switzerland). Italian operation rolled into Cisalfa Group portfolio.",
Maxi Sport,chain,"Lombardia (Lissone flagship, Como, Trezzano sul Naviglio, Sesto San Giovanni, Merate) and Brescia",~8,https://www.maxisport.com/,via contact form on /contattaci,Servizio Clienti / Marketing,Long-standing Italian sporting-goods chain anchored by the 2500 sqm Lissone flagship; deep football category incl. boots, balls, replica kits, futsal; member of Intersport Italia under Cisalfa Group; high foot traffic from Monza-Brianza catchment that includes many Inter and Milan tifosi,"Maxi Sport SpA, Strada Nuova Valassina 346, 20851 Lissone (MB). Intersport-affiliated. Customer service hours Lun 14:30-19:30, Mar-Sab 9:30-19:30, Dom 10:00-19:30.",+39 02 9977 5540
Longoni Sport,chain,"Lombardia + Piemonte + Liguria (Gallarate, Milano, Cinisello Balsamo, Cogoleto and more)",~25,https://www.longonisport.it/,via contact form on longonisport.it,Group Marketing (now under Cisalfa Sport),Historic Lombardy sports chain founded by the Longoni family; acquired by Cisalfa Sport in 2022 and partially rebranded under Intersport; carries Nike / adidas / Puma football boots and Serie A licensed apparel; strong Varese / Milano nord catchment,"HQ Via Statale 15, 23890 Barzago (LC). Now operating as a Cisalfa Sport Spa filiale; corporate route should go through Cisalfa Group partnership desk.",
DF Sport Specialist,chain,"Lombardia + Emilia-Romagna + Canton Ticino (Switzerland), incl. Bevera di Sirtori flagship 'Palazzo dello Sport' (Lissone) at 3500 sqm",18,https://df-sportspecialist.it/,amm388@df-sportspecialist.it,Servizio Clienti,Family-owned northern-Italian chain of 18 large-format stores (1200-3000 sqm); Intersport-affiliated; carries full football boots range from adidas/Nike/Puma/New Balance/Mizuno; rich kits/balls/teamwear catalogue; deeply embedded in Lecco/Como football community,"HQ DF Sport Specialist SpA, Via Stabilimento Figliodoni 14, Barzano (LC). Member of Intersport Italia (Cisalfa Group). Customer-service phone 039 9530230. Email amm388@df-sportspecialist.it is the published assistance address.",+39 039 9530230
Sportland,chain,"Lombardia, Veneto, Emilia-Romagna + selected northern-Italy regions; flagship at Italmark centre Brescia",18,https://www.sportlandweb.it/,via contact form on /pages/contattaci,Servizio Clienti (Italmark Group),Specialist sporting-goods chain of 18 stores owned by Italmark Group (130 retail points across food, electronics, perfumery and DIY); member of Sport 2000 buying co-op; concept stores for running and team sports; foot traffic baked in via Italmark food shoppers,"Sportland Srl, c/o Italmark Centre Brescia. Parent Italmark Group (founded 1965). Sport 2000 affiliate. Smaller per-store budget but easier internal sign-off than the Cisalfa group.",
Universo Sport,chain,"Toscana (Firenze, Scandicci, Arezzo), Lazio, Lombardia, Veneto, Emilia-Romagna",20,https://www.universosport.it/,via contact form on universosport.it,Direzione Commerciale (Universo Sport SpA),Founded 1997 (Scandicci HQ) with 270 employees and 20 outlets across Tuscany and four other regions; carries football boots and lifestyle football apparel; Toscana presence overlaps with Fiorentina tifosi and Empoli/Pisa Serie A markets,"Universo Sport SpA, headquartered in Scandicci (FI). Strong Florence-region foothold complements the Fiorentina retail channel.",
Nencini Sport,chain,"Toscana (Calenzano flagship, Firenze, Livorno, Montecatini, Pistoia, Terranuova Bracciolini)",~6,https://www.nencinisport.it/,via contact form on nencinisport.it,Servizio Clienti (Nencini Sport SpA),Founded 1985; biggest sports retailer in Florence with around 10000 sqm of retail space across multiple Tuscan super-stores; runs one of the earliest Italian sports e-commerce platforms; rich Fiorentina catchment and strong school/club channel,"Nencini Sport SpA, Via Salvanti 45, 50041 Calenzano (FI). Famous for ski and outdoor but also stocks Serie A and national-team replica kits.",
JD Sports Italia,chain,"national (Milano Centrale, Milano CityLife, Roma Termini, Torino, Bologna, Modena, Napoli, Palermo, Verona, Vicenza, Sassari, Taranto, Pescara, Novara and more)",50+,https://www.jdsports.it/,via contact form on jdsports.it/customer-service/contact/,Customer Service / Italy Marketing,UK sneaker giant with strong WC2026 football boot inventory (Nike, adidas, Puma) and Serie A + national-team replica kits; mall and station foot traffic; Italian Serie A continuing-season cross-promo drives boots into checkout,"JD Sports Fashion Srl, Via Montenapoleone 29, 20121 Milano. Parent JD Sports Fashion Plc (LSE-listed, Bury UK). Escalation customerchampions@jdplc.com (unverified for Italy).",
