name,type,country,region,website,best_contact_email,best_contact_role,member_size,why_target,notes,phone
NZ Football Talent Centre Programme,youth-association-national,NZ,National,https://www.nzfootball.co.nz/Talent/Talent-Pathways,info@nzfootball.co.nz,General Office,~3000 players in NZF Talent Centre network,National NZF talent pathway covering 13 federation talent centres plus Future Ferns and Future Whites; every kid in the pathway has a football-mad family ideal WC2026 audience,HQ NZ Football House 5 Cawley St Ellerslie Auckland; member_size estimated from NZF annual report; pattern emails firstname.lastname@nzfootball.co.nz,+64 9 580 2750
WaiBOP Football Talent Centre,youth-association-state-or-regional,NZ,Waikato + Bay of Plenty,https://www.waibopfootball.co.nz/,admin@waibopfootball.co.nz,General Office,~6000 youth players across federation,Federation talent programme for Hamilton + Tauranga youth; whole-of-region multiplier,Hamilton + Tauranga offices; admin email confirmed on site,
Capital Football Junior Programmes,youth-association-state-or-regional,NZ,Wellington,https://www.capitalfootball.org.nz/,comms@capitalfootball.org.nz,Communications,42 clubs c. 16000 players,Wellington junior football programme reaches every junior club in Greater Wellington and Wairarapa,comms email confirmed on site; office Petone,
NZSSF (NZ Secondary Schools Football),school-soccer-program,NZ,National,https://nzssf.org.nz/,info@nzssf.org.nz,General Office,~400 secondary schools,Governing body for school football in NZ; runs the National Secondary Schools Tournament every July perfect WC2026 lead-in,Comms via College Sport regional bodies College Sport Auckland Wellington Canterbury,
WyntonRufer SoccerSkills Academy,independent-academy,NZ,Auckland,https://www.wsasoccerskills.com/,info@wsasoccerskills.com,Founder Office (Wynton Rufer),~1200 kids per year through 12 venues,All Whites legend Wynton Rufer runs the country's most established kids skill academy; brand name recognition + WC2026 nostalgia angle,Wynton is publicly reachable founder; HQ North Shore Auckland; member_size from public marketing,
Football Federation Auckland Junior Football,youth-association-state-or-regional,NZ,Auckland,https://www.nrf.org.nz/,info@nrf.org.nz,General Office,73 affiliated clubs ~37815 registered players,Northern Region Football covers Auckland and Northland junior football; biggest single multiplier in NZ,member_size from NRF annual report; one yes opens every Auckland junior club,
Coerver Coaching New Zealand,coaching-business,NZ,National,https://www.coerver.co.nz/,info@coerver.co.nz,National Director,~2500 kids per term across NZ,Coerver is the world's biggest skill-school franchise; NZ master franchise runs holiday camps + weekly clinics ideal for parent-mailing-list multiplier,Parent of global Coerver brand; HQ Auckland,
Ole Football Academy,independent-academy,NZ,Wellington,https://www.olefootballacademy.co.nz/,info@olefootballacademy.co.nz,Director,~150 elite kids + 600 development,Wellington's premier youth academy producing All Whites since 2009; tight family network of academy parents,member_size estimated from public roster,
JMA Football Academy,independent-academy,NZ,Auckland,https://www.jmafootball.com/,info@jmafootball.com,Founder Office,~600 kids per year,Auckland skill academy with strong family-engagement model + holiday camps,HQ Auckland; email pattern info@,
Football Ferns Talent Pathway,youth-association-national,NZ,National,https://www.nzfootball.co.nz/Talent/Talent-Pathways/Future-Ferns,info@nzfootball.co.nz,General Office,~400 elite girls in pathway,Female pathway feeding NZ women's national team; family + parent angle is huge for WC2026 promo,Use NZ Football contact; member_size estimate,
The FA Skills Programme,youth-association-national,UK,England,https://www.thefa.com/get-involved/player/skills,skills@thefa.com,Programme Office,~700000 kids per year reached,FA-run grassroots skills programme reaching 5-11 year olds in schools and clubs; single yes opens the whole FA youth pipeline,HQ Wembley Stadium HA9 0WS; (unverified) inferred email pattern from FA published pattern,
The FA Wildcats (Girls Programme),youth-association-national,UK,England,https://www.thefa.com/womens-girls-football/wildcats,wildcats@thefa.com,Programme Office,~80000 girls 5-11 per year,FA-run female-only football programme; growing audience and high parent engagement,(unverified) inferred email pattern; primary contact via FA Wembley switchboard,
The FA Snickers Just Play,youth-association-national,UK,England,https://www.thefa.com/get-involved/player/just-play,info@thefa.com,Programme Office,~120000 adults + families,Adult and family casual football programme run by FA; family WC2026 hook is direct,Use general FA inbox; HQ Wembley,
Foundation of Light (Sunderland),charity-football-org,UK,North East,https://www.foundationoflight.co.uk/,info@foundationoflight.co.uk,General Office,~50000 children per year,Sunderland AFC-linked charity reaching 50k kids across North East via schools and holiday programmes; sponsorship-friendly,Black Cats Lane Stadium of Light SR5 1SU; phone confirmed on site,+44 191 563 4777
Manchester United Foundation,charity-football-org,UK,Greater Manchester,https://mufoundation.org/,foundation@manutd.co.uk,General Office,~30000 kids reached,Man Utd-linked charity running schools programmes; massive parent reach via United fan base,Old Trafford M16 0RA; phone +44 161 868 8000,+44 161 868 8000
Manchester City Cityzens Giving,charity-football-org,UK,Greater Manchester,https://www.cityinthecommunity.org/,cityinthecommunity@mancity.com,General Office,~25000 young people,City in the Community charity arm; massive global parent audience via City brand,Etihad Campus M11 3FF,
Premier League Charitable Fund,charity-football-org,UK,National,https://www.premierleague.com/communities,plcf@premierleague.com,Communities Team,~1.1M kids reached annually,Umbrella fund for Premier League community programmes; one yes touches every PL club community arm,Brunel Building W2 1HQ; (unverified) inferred email,
StreetGames,charity-football-org,UK,National,https://network.streetgames.org/,info@streetgames.org,General Office,~750000 young people across UK,Sport-for-good network with deep parent reach in lower-income areas; football is the biggest sport in the network,Manchester HQ; phone confirmed on site,+44 161 707 0782
Show Racism the Red Card UK,charity-football-org,UK,National,https://www.theredcard.org/,ed@theredcard.org,Director Ged Grebby,~100000 students per year,Anti-racism football education charity working in schools across UK; football-positive parent narrative,HQ South Shields NE33; Ged Grebby is founder,+44 191 257 8519
Chelsea FC Foundation Academy Programmes,club-academy,UK,London,https://www.chelseafc.com/en/foundation,foundation@chelseafc.com,Foundation Office,~30000 kids per year,Chelsea FC non-residential coaching schools across UK and abroad; strong family-skewed audience,Stamford Bridge SW6 1HS; (unverified) inferred email pattern,+44 371 811 1955
Arsenal in the Community,charity-football-org,UK,London,https://www.arsenal.com/the-club/foundation/arsenal-in-the-community,community@arsenal.co.uk,Community Office,~20000 children reached,Arsenal community arm; high family engagement North London,Emirates Stadium N7 7AJ; (unverified) inferred email,
Tottenham Hotspur Foundation,charity-football-org,UK,London,https://www.tottenhamhotspur.com/the-club/foundation/,foundation@tottenhamhotspur.com,Foundation Office,~25000 kids per year,Spurs charity programme; school and parent engagement N17,Tottenham Hotspur Stadium N17 0BX; (unverified),+44 344 499 5000
Liverpool FC Foundation,charity-football-org,UK,Merseyside,https://foundation.liverpoolfc.com/,foundation@liverpoolfc.com,Foundation Office,~70000 people reached per year,LFC charity arm running In Schools Premier League Primary Stars Kicks and others; biggest brand in NW grassroots,Anfield L4 0TH; (unverified) inferred email,+44 151 264 2500
Manchester United Soccer Schools,holiday-camp-operator,UK,National + international,https://www.manutdsoccerschools.com/,soccerschools@manutd.co.uk,Programme Office,~15000 kids per year across countries,Man Utd-branded paid holiday camps in UK and overseas; affluent parent base perfect for WC2026 family pool,(unverified) inferred email; book via website,+44 161 868 8000
Chelsea FC Soccer Schools,holiday-camp-operator,UK,National + international,https://chelseafcsoccerschools.com/,info@chelseafcsoccerschools.com,Programme Office,~12000 kids per year,Chelsea FC-branded holiday camps and residential weeks; affluent international audience,(unverified) inferred email,
PlayerScope,independent-academy,UK,London,https://www.playerscope.co.uk/,info@playerscope.co.uk,Founder Office,~3000 kids per year,Privately-owned London academy known for elite player development scouting US college network; tight founder network,HQ London; (unverified) inferred email,
Soccer Coaching International (Premier Football Coaching),coaching-business,UK,National,https://www.premierfootballcoaching.co.uk/,info@premierfootballcoaching.co.uk,Office,~10000 kids per year,Large UK coaching franchise running school after-school clubs and birthdays,(unverified) inferred email,
Brazilian Soccer Schools (BSS),independent-academy,UK,National + global,https://www.bssproject.com/,bsschools@aol.com,Founder Simon Clifford,~25000 kids per year worldwide,Simon Clifford's BSS / Socatots reaches 25k kids globally; founder is famously reachable; futebol de salao angle ties perfectly to WC2026,HQ Leeds; member_size from public marketing; email from public records,
Soccer Aid UNICEF Programmes,charity-football-org,UK,National,https://www.socceraid.org.uk/,info@socceraid.org.uk,Communications,~£100M raised total,High-profile celebrity-football charity owned by UNICEF UK; tight to family-football identity in UK,(unverified) inferred email; Unicef UK HQ London EC2A,
English Universities Sport (BUCS) Football,university-soccer-program,UK,UK-wide,https://www.bucs.org.uk/sport/football.html,football@bucs.org.uk,Sport Manager,~150 universities ~12000 players,BUCS governs all UK university football men's and women's; single yes opens every uni football club,HQ London; (unverified) inferred email,+44 20 7633 5080
NCAA Division 1 Men's Soccer (NCAA),university-soccer-program,USA,National,https://www.ncaa.com/sports/soccer-men/d1,membership@ncaa.org,Membership Services,205 D1 men's programmes ~9000 players,NCAA D1 men's soccer programmes across all conferences; parent audience is enormous and engaged,Indianapolis HQ; (unverified) inferred email; phone confirmed,+1 317 917 6222
NCAA Division 1 Women's Soccer (NCAA),university-soccer-program,USA,National,https://www.ncaa.com/sports/soccer-women/d1,membership@ncaa.org,Membership Services,343 D1 women's programmes ~10000 players,NCAA D1 women's soccer programmes; the parent base for women's soccer in USA is the most-engaged audience in world football,Indianapolis HQ,+1 317 917 6222
United Soccer Coaches,coaching-business,USA,National,https://unitedsoccercoaches.org/,info@unitedsoccercoaches.org,General Office,30000+ coach members,Largest coaching membership org in USA; one yes goes to 30k US coaches who all run kids programmes,HQ Kansas City; (unverified) inferred email,+1 800 458 0678
US Youth Soccer (USYS),youth-association-national,USA,National,https://www.usyouthsoccer.org/,info@usyouthsoccer.org,National Office,~3M youth players,Largest youth soccer body in USA; 55 state associations underneath; the single biggest WC2026 family multiplier on the planet,HQ Frisco TX; member_size from USYS public stats,+1 800 4SOCCER
AYSO (American Youth Soccer Organization),youth-association-national,USA,National,https://www.ayso.org/,nso@ayso.org,National Support Office,~400000 players + 50000 volunteer coaches,Parent-volunteer-driven national youth soccer with strong family identity; perfect WC2026 prediction-pool fit,HQ Torrance CA; member_size from AYSO published,+1 800 872 2976
US Club Soccer,youth-association-national,USA,National,https://usclubsoccer.org/,info@usclubsoccer.org,National Office,~600000 players,Competitive youth body running ECNL and NPL; affluent travel-soccer parent base,HQ Charleston SC,+1 843 970 4600
ECNL (Elite Clubs National League),youth-association-national,USA,National,https://www.theecnl.com/,info@theecnl.com,Office,~30000 elite youth players,Elite girls and boys league with the most engaged travel-soccer parents in USA,(unverified) inferred email; HQ Richmond VA,
