channel_name,handle,subscribers,uploads_per_month,country,primary_language,tier,contact_route,why_target,channel_url
Fifa World Cup 2026,@fifaworldcup2026x,4,1.9,,en,A,YouTube About-page email only,original fan/community content; WC-relevant audience; micro-creator (<1k),https://www.youtube.com/channel/UC-asDTYdf_VEGVrV4Qxyf1w
Caleb Marley | Analysis • Opinions • Reactions,@calebmarleyfootball,16,5.2,GB,en,A,YouTube About-page email only,original fan/community content; transfer talk; micro-creator (<1k),https://www.youtube.com/channel/UCQWryoOnfgMesAwywyB7X_Q
Doble FF Podcast,@dobleffpodcast,26,3.7,,es,A,YouTube About-page email only,original fan/community content; podcast format; micro-creator (<1k),https://www.youtube.com/channel/UCfK7ojm50hAIwkmB3ouH9MQ
SportsKast Podcast,@thesportskastke,30,7.3,,en,A,YouTube About-page email only,original fan/community content; podcast format; micro-creator (<1k),https://www.youtube.com/channel/UCYkLwHJsvmDlYxeCYz8j15w
BigTonyFootball,@bigtonyfootball,42,10.3,NG,en,A,YouTube About-page email only,original fan/community content; micro-creator (<1k),https://www.youtube.com/channel/UC3aKx42ovL8SOOip2akE2KA
The Football Wrapped Show,@thefootballwrappedshow,272,23.8,,en,A,YouTube About-page email only,original fan/community content; micro-creator (<1k),https://www.youtube.com/channel/UC9L14I6kCt2yqrZnjhWJC8g
The Commentary Hub,@commentarylive1,483,14.3,GB,en,A,YouTube About-page email only,original fan/community content; micro-creator (<1k),https://www.youtube.com/channel/UC0CLsrejoO8c81pZmblOV_g
Lucy Chelsea Analysis,@lucychelseaanalysis,874,1.7,US,en,A,YouTube About-page email only,original fan/community content; transfer talk; micro-creator (<1k),https://www.youtube.com/channel/UCVfWTrcQ7fF3BGDVsF8yp0w
The Football with Flynn Show,@thefootballwithflynnshow,1040,2.0,IE,en,A,YouTube About-page email only,original fan/community content; transfer talk; small but engaged,https://www.youtube.com/channel/UC8xV9StChG4ZoOHBqD_7egg
Football Pundit,@footballpunditx,1160,12.3,IN,en,A,YouTube About-page email only,original fan/community content; transfer talk; small but engaged,https://www.youtube.com/channel/UCq1ftnGB7EozEdUmYDuf0aw
Análisis Fútbol Podcast,@analisisfutbolpodcast,1220,11.3,CO,es,A,YouTube About-page email only,original fan/community content; podcast format; small but engaged,https://www.youtube.com/channel/UCAVHHVTFSxR_aDJ99r7ScYQ
Cliftonville Football Club,@cliftonvillefootballclub1879,2450,2.2,GB,fr,A,YouTube About-page email only,original fan/community content; small but engaged,https://www.youtube.com/channel/UC-6rQf7fJNuuZ0FT6QoD7QA
Total Soccer Show,@total-soccer-show,3810,48.2,,en,A,YouTube About-page email only,original fan/community content; podcast format; small but engaged,https://www.youtube.com/channel/UCFxFisCqlbSF0HQ-1VV_aRg
Fútbol Neto Podcast,@futbolnetopodcast,4300,5.2,AR,es,A,YouTube About-page email only,original fan/community content; podcast format; small but engaged,https://www.youtube.com/channel/UCAD4zixiVI3bAqQ9Sxf9fvQ
Talk Futbol Live,@talkfutbol,4320,9.9,US,en,A,YouTube About-page email only,original fan/community content; podcast format; small but engaged,https://www.youtube.com/channel/UCOrLtiQ2RuTfXZSzXxXYMZg
Commentary F.K.,@commentaryfk,4440,45.7,AU,en,A,Twitter/X @fudbal_klub + YouTube About-page email,original fan/community content; small but engaged,https://www.youtube.com/channel/UCdJFEOGEIRciqo0NBTfDl3A
Ethan Digital TV (Football / Soccer Highlights) HD,@ethandigitaltvfootball,6140,3.9,ZW,en,A,YouTube About-page email only,original fan/community content; growing channel,https://www.youtube.com/channel/UCDr5tbFg2At45NcSPS8Vplw
MVP FOOT PODCAST,@mvpfootpodcast225,6240,14.1,CA,fr,A,YouTube About-page email only,original fan/community content; podcast format; growing channel,https://www.youtube.com/channel/UCDsVgDnB0PlQGPHzMXNwvLQ
Football Analysis,@footballanalysis247,9930,56.1,NG,en,A,Twitter/X @footballanalysi + YouTube About-page email,original fan/community content; growing channel,https://www.youtube.com/channel/UCf6U_cZjlFxddwd82qpcbmQ
