name,medium,country,language,audience_size,website,best_contact_email,best_contact_role,why_target,notes,handle
Football Weekly (Guardian),podcast,UK,en,~1M weekly downloads,https://www.theguardian.com/football/series/footballweekly,sport@theguardian.com,Sports Desk,"Flagship Guardian football podcast hosted by Max Rushden; massive WC audience and runs daily during tournaments","Estimate from Guardian audio reports; parent Guardian Media Group; ad-supported + Guardian membership",@FootballWeekly
Stick to Football,podcast,UK,en,~2M weekly downloads,https://thestickpod.com/,info@thestickpod.com,Production Office,"Gary Neville Roy Keane Jamie Carragher Ian Wright Jill Scott - huge personality-led pod; ran branded prediction segments before","Estimate from public Spotify/YT chart positions; produced by Overlap/Sky; brand-funded with sponsors",@StickPodOfficial
The Overlap,youtube,UK,en,~1.8M YT subs,https://www.youtube.com/@TheOverlap,(via YouTube About page),Channel Owner,"Gary Neville long-form Premier League content; cross-promotes with Stick to Football; brand-friendly","Verified YT subscriber count; Sky/Buzz16 production; ad + brand partnership",@TheOverlap
The Rest is Football,podcast,UK,en,~3M weekly downloads,https://goalhanger.com/,info@goalhangerpodcasts.com,Goalhanger Office,"Gary Lineker Alan Shearer Micah Richards - UK number one football podcast; daily during major tournaments","Estimate from Goalhanger public reporting; Goalhanger Podcasts; ad-supported with multi-brand partners",@restisfootball
That Peter Crouch Podcast,podcast,UK,en,~500k weekly downloads,https://www.acast.com/thatpetercrouchpodcast,podcasts@acast.com,Acast Office,"Mainstream-comedy football audience; Peter Crouch has run brand campaigns; light-touch fit for prediction game","Estimate from Acast charts; Acast network; ad-supported with brand reads",@petercrouchpod
Football Daily (BBC 5 Live),podcast,UK,en,~700k weekly listens,https://www.bbc.co.uk/programmes/p02nrss1,5live.football@bbc.co.uk,Producer,"Daily BBC football coverage; tied to BBC live rights; cannot run sponsored prediction pools but excellent for editorial","BBC public-service; no paid promotion but great press route; via 5 Live general contact form",@5liveSport
Tifo Football,youtube,UK,en,~700k YT subs,https://www.youtube.com/@TifoFootball,hello@tifofootball.com,Editorial Office,"Analytical football explainers under The Athletic; perfect for explainer about WC2026 format expansion","Verified YT subs; owned by The Athletic/NYT; subscription + ad",@TifoFootball
The Athletic FC Podcast,podcast,UK,en,~400k weekly downloads,https://theathletic.com/podcasts/,podcasts@theathletic.com,Podcast Editorial,"Premium football analysis pod; Adam Hurrey hosts Football Cliches under same umbrella","Estimate from Athletic reporting; The Athletic/NYT; subscription-funded",@TheAthleticFC
Football Cliches,podcast,UK,en,~300k weekly downloads,https://theathletic.com/podcasts/,podcasts@theathletic.com,Adam Hurrey,"Adam Hurrey + David Walker + Charlie Eccleshare - cult fan audience; trivia-flavoured prediction angle is on-brand","Estimate from Athletic charts; The Athletic; subscription",@FootballCliches
talkSPORT,traditional-broadcast,UK,en,~3.2M weekly listeners,https://talksport.com/,studio@talksport.com,News Desk,"UK number one commercial football station; runs branded competitions constantly; brand-friendly","RAJAR Q4 2025; News UK; advertising-funded",@talkSPORT
AFTV (Arsenal Fan TV),youtube,UK,en,~1.6M YT subs,https://www.youtube.com/@AFTVMedia,info@aftv.co.uk,Robbie Lyle Office,"Arsenal-focused but covers all big games; ran sponsored prediction segments with bet brands; Robbie Lyle entrepreneur-friendly","Verified YT subs; AFTV Media; ad + sponsorship",@AFTVMedia
The United Stand,youtube,UK,en,~1.5M YT subs,https://www.youtube.com/@TheUnitedStand,info@theunitedstand.com,Mark Goldbridge,"Man United live reactions; one of UK's biggest match-night football channels; brand-active host","Verified YT subs; The United Stand Media; ad + sponsorship",@TheUnitedStand
Redmen TV,youtube,UK,en,~400k YT subs,https://www.youtube.com/@RedmenTV,info@theredmentv.com,Production Office,"Liverpool fan channel; runs live shows match-days; brand-friendly with prior bookmaker tie-ups","Verified YT subs; Redmen Media; ad + brand partnerships",@RedmenTV
NUFC Matters,youtube,UK,en,~70k YT subs,https://www.youtube.com/@NUFCMattersOfficial,nufcmatters@gmail.com,Steve Wraith,"Newcastle United fan channel; growing fast post-takeover; receptive to partnerships","Verified YT subs; independent; ad-supported",@NUFCMatters
Spurs Web,youtube,UK,en,~100k YT subs,https://www.youtube.com/@spurswebofficial,info@spurs-web.com,Production Office,"Spurs fan channel and website with podcast and live reactions","Verified YT subs; independent; ad + sponsorship",@spurswebofficial
The Chels,youtube,UK,en,~120k YT subs,https://www.youtube.com/@TheChelsOfficial,(via YouTube About page),Channel Owner,"Chelsea fan channel with live match reactions; podcast-style","Verified YT subs; independent; ad-supported",@TheChelsOfficial
Footballia,youtube,UK,en,~600k YT subs,https://www.youtube.com/@footballia,contact@footballia.net,Editorial Office,"Classic full-match archive channel; massive nostalgia audience; cross-language appeal","Verified YT subs; Footballia SL; ad-supported",@footballia
COPA90,youtube,UK,en,~1.7M YT subs,https://www.youtube.com/@COPA90,hello@copa90.com,Editorial Office,"Long-running global football culture brand; runs WC documentary content","Verified YT subs; COPA90 Sports Limited; brand partnerships",@COPA90
Squawka,social-twitter,UK,en,~1.1M X followers,https://www.squawka.com/,editor@squawka.com,Editorial Office,"Football data/stats; X-first distribution; ideal for stats-driven prediction content","Follower count from X public; Squawka Limited; ad-supported",@Squawka
The Guardian Sport,traditional-newspaper,UK,en,~120M monthly site visits sport section,https://www.theguardian.com/football,sport@theguardian.com,Football Editor,"Largest football journalism site in UK English; David Hytner Barney Ronay Jonathan Liew","SimilarWeb sport vertical; Guardian Media Group; reader-funded + ad",@guardian_sport
The Athletic FC,traditional-newspaper,UK,en,~1.2M paying subscribers,https://theathletic.com/football/,uksport@theathletic.com,Football Editor,"Premium football journalism; James Pearce David Ornstein Adam Crafton","Subscriber count from NYT earnings; NYT Group; subscription",@TheAthleticFC
FourFourTwo,traditional-newspaper,UK,en,~3M monthly site visits,https://www.fourfourtwo.com/,editor@fourfourtwo.com,Editor-in-Chief,"Long-form football magazine and site; runs annual WC issues; brand-friendly with affiliate","SimilarWeb estimate; Future Publishing; ad + affiliate",@FourFourTwo
BBC Sport (Football),traditional-broadcast,UK,en,~80M weekly UK users,https://www.bbc.com/sport/football,(via BBC Sport contact form),Football Editor,"Largest public-service football outlet; cannot run sponsored pools but biggest editorial reach","BBC Audience figures Q4 2025; BBC public-service",@BBCSport
Sky Sports Football,traditional-broadcast,UK,en,~30M monthly digital reach,https://www.skysports.com/football,skysportsnews@bskyb.com,News Desk,"Pay-TV leader for Premier League and EFL; runs Soccer Saturday Super Sunday","Comscore monthly; Sky Group/Comcast; subscription + ad",@SkySportsNews
Adam Hurrey - Football Cliches Newsletter,substack,UK,en,~40k subscribers,https://adamhurrey.substack.com/,adamhurrey@substack.com,Author,"Wry football trivia newsletter; tone fits a prediction-game launch","Estimate from Substack rankings; Substack; subscription + free tier",@AdamHurrey
The Fence Football,newsletter,UK,en,~30k subscribers,https://thefence.media/football/,hello@thefence.media,Editorial Office,"Smart contemporary football culture writing; younger demographic","Estimate from publisher; The Fence; subscription + ad",@thefencemag
Henry Winter,social-twitter,UK,en,~800k X followers,https://x.com/henrywinter,henry.winter@gmail.com,Author,"Veteran football journalist; ex-Times chief football writer; now freelance; strong distribution power","Follower from X; freelance; (unverified email - public pattern)",@henrywinter
Miguel Delaney,social-twitter,UK,en,~250k X followers,https://x.com/MiguelDelaney,m.delaney@independent.co.uk,Chief Football Writer,"Independent's Chief Football Writer; covers politics of game; pundit on radio","Follower from X; The Independent; advertising-funded outlet",@MiguelDelaney
Daniel Taylor,social-twitter,UK,en,~250k X followers,https://x.com/DTathletic,d.taylor@theathletic.com,Senior Writer,"Senior Athletic writer; investigative and feature work; sets news agenda","Follower from X; The Athletic; subscription",@DTathletic
James Pearce,social-twitter,UK,en,~600k X followers,https://x.com/JamesPearceLFC,j.pearce@theathletic.com,Senior Writer,"Athletic's Liverpool correspondent; one of the biggest single-club journalist accounts in UK","Follower from X; The Athletic; subscription",@JamesPearceLFC
David Ornstein,social-twitter,UK,en,~3.5M X followers,https://x.com/David_Ornstein,d.ornstein@theathletic.com,Senior Writer,"Top transfer-news journalist in UK; pure distribution power for any league-wide piece","Follower from X; The Athletic; subscription",@David_Ornstein
Soccer Bible,social-instagram,UK,en,~3M IG followers,https://www.soccerbible.com/,info@soccerbible.com,Editorial Office,"Football culture media; massive IG distribution for kit/lifestyle content","Follower count from IG public; SoccerBible Ltd; ad + commerce",@soccerbible
433,social-instagram,UK,en,~63M IG followers,https://www.433.com/,contact@433.com,Brand Partnerships,"World's biggest football IG account; runs branded content constantly; very brand-friendly","Follower count from IG public; 433 BV (NL HQ - global English audience); brand partnerships",@433
Mundial Magazine,social-instagram,UK,en,~600k IG followers,https://mundialmag.com/,info@mundialmag.com,Editorial Office,"Football culture print + digital; younger urban audience","Follower count from IG public; Mundial Publishing; subscription + ad",@MundialMag
Goal.com,traditional-newspaper,UK,en,~80M monthly visits global,https://www.goal.com/en,info@goal.com,UK Editor,"Largest dedicated football site globally; multi-language hub; runs prediction content already","SimilarWeb; Footballco; ad-supported",@goal
Squawka Live,social-twitter,UK,en,~600k X followers,https://x.com/SquawkaLive,editor@squawka.com,Editorial Office,"Real-time match commentary X feed; perfect channel for in-play prediction prompts","Follower count from X public; Squawka Limited; ad-supported",@SquawkaLive
The Times Football,traditional-newspaper,UK,en,~600k digital subscribers,https://www.thetimes.co.uk/sport/football,sport@thetimes.co.uk,Football Editor,"Premium UK football journalism; Henry Winter (when there) Martyn Ziegler","News UK published subs Q4 2025; News UK; subscription",@TimesSport
Telegraph Football,traditional-newspaper,UK,en,~1M digital subscribers,https://www.telegraph.co.uk/football/,sport@telegraph.co.uk,Football Editor,"Premium subs base; Sam Wallace Jason Burt Mike McGrath","Telegraph public reporting; Telegraph Media Group; subscription",@TelegraphSport
John Cross,social-twitter,UK,en,~400k X followers,https://x.com/johncrossmirror,john.cross@trinitymirror.com,Chief Football Writer,"Mirror Chief Football Writer; covers England; runs his own newsletter on Substack","Follower from X; Reach plc; ad-supported",@johncrossmirror
New Statesman Sport,newsletter,UK,en,~40k newsletter subscribers,https://www.newstatesman.com/sport,sport@newstatesman.co.uk,Sport Editor,"Smart sport-as-politics writing including Jonathan Liew and Barney Ronay alumni","Estimate from publisher; New Statesman; subscription",@NewStatesman
Liewy on Football,substack,UK,en,~30k subscribers,https://jonathanliew.substack.com/,(via Substack profile),Jonathan Liew,"Guardian columnist with personal Substack; literary football writing","Estimate from Substack rankings; Substack; free + paid",@jonathanliew
The Game (Times),podcast,UK,en,~150k weekly downloads,https://www.thetimes.co.uk/podcasts/the-game,sport@thetimes.co.uk,Sport Editor,"Times Premier League pod; Martyn Ziegler Henry Winter alumni","Estimate from Times podcast ranking; News UK; subscription",@TimesSport
ESPN FC,youtube,USA,en,~3.7M YT subs,https://www.youtube.com/@ESPNFC,(via Disney Press),Brand Partnerships,"ESPN's dedicated football channel; covers US + global; daily WC content","Verified YT subs; Disney/ESPN; ad + subscription",@ESPNFC
