player_id,name,number,country,wikidata_q,image_url,attribution
AR_E_MARTINEZ,Emiliano Martínez,23,AR,Q3275904,https://commons.wikimedia.org/wiki/Special:FilePath/St._Louis_City_vs_Aston_Villa_(Jul_2025)_14_(Emiliano_Mart%C3%ADnez).jpg?width=256,"© u/reepers_hellcat, CC BY 4.0, via Wikimedia Commons (File:St. Louis City vs Aston Villa (Jul 2025) 14 (Emiliano Martínez).jpg)"
AR_MOLINA,Nahuel Molina,26,AR,Q22082590,https://commons.wikimedia.org/wiki/Special:FilePath/Nahuel_Molina_WC2022.jpg?width=256,"© Hossein Zohrevand, CC BY 4.0, via Wikimedia Commons (File:Nahuel Molina WC2022.jpg)"
AR_ROMERO,Cristian Romero,13,AR,Q28058687,https://commons.wikimedia.org/wiki/Special:FilePath/Cristian_Romero_WC2022.jpg?width=256,"© Hossein Zohrevand, CC BY 4.0, via Wikimedia Commons (File:Cristian Romero WC2022.jpg)"
AR_OTAMENDI,Nicolás Otamendi,19,AR,Q182063,https://commons.wikimedia.org/wiki/Special:FilePath/Argentina_team_in_St._Petersburg_(cropped)_Otamendi.jpg?width=256,"© Кирилл Венедиктов, CC BY-SA 3.0, via Wikimedia Commons (File:Argentina team in St. Petersburg (cropped) Otamendi.jpg)"
AR_ACUNA,Marcos Acuña,8,AR,Q17462635,https://commons.wikimedia.org/wiki/Special:FilePath/Argentina_-_Colombia_2022_(52)_(cropped).jpg?width=256,"© jmmuguerza, CC BY-SA 3.0, via Wikimedia Commons (File:Argentina - Colombia 2022 (52) (cropped).jpg)"
AR_DE_PAUL,Rodrigo De Paul,7,AR,Q6110670,https://commons.wikimedia.org/wiki/Special:FilePath/Rodrigo_De_Paul_NYCFC_Miami_24_Sep_2025-018_(cropped).jpg?width=256,"© Bryan Berlin, CC BY-SA 4.0, via Wikimedia Commons (File:Rodrigo De Paul NYCFC Miami 24 Sep 2025-018 (cropped).jpg)"
AR_MAC_ALLIST,Alexis Mac Allister,20,AR,Q33297140,https://commons.wikimedia.org/wiki/Special:FilePath/Alexis_Mac_Allister_WC_2022.jpg?width=256,"© Hossein Zohrevand, CC BY 4.0, via Wikimedia Commons (File:Alexis Mac Allister WC 2022.jpg)"
AR_E_FERNAND,Enzo Fernández,24,AR,Q96105248,https://commons.wikimedia.org/wiki/Special:FilePath/Enzo_Fern%C3%A1ndez_2025_FIFA_Club_World_Cup_Final.jpg?width=256,"© The White House, Public domain, via Wikimedia Commons (File:Enzo Fernández 2025 FIFA Club World Cup Final.jpg)"
AR_DI_MARIA,Ángel Di María,11,AR,Q251683,https://commons.wikimedia.org/wiki/Special:FilePath/NIG-ARG_(5).jpg?width=256,"© Кирилл Венедиктов, CC BY-SA 3.0, via Wikimedia Commons (File:NIG-ARG (5).jpg)"
AR_MESSI,Lionel Messi,10,AR,Q615,https://commons.wikimedia.org/wiki/Special:FilePath/Lionel_Messi_White_House_2026_(3x4_cropped).jpg?width=256,"© The White House, Public domain, via Wikimedia Commons (File:Lionel Messi White House 2026 (3x4 cropped).jpg)"
AR_J_ALVAREZ,Julián Álvarez,9,AR,Q59381180,https://commons.wikimedia.org/wiki/Special:FilePath/Juli%C3%A1n_%C3%81lvarez_(footballer)_2023.jpg?width=256,"© pantkiewicz, CC BY-SA 2.0, via Wikimedia Commons (File:Julián Álvarez (footballer) 2023.jpg)"
FR_LLORIS,Hugo Lloris,1,FR,Q1907,https://commons.wikimedia.org/wiki/Special:FilePath/Lloris_2018_(cropped).jpg?width=256,"© Кирилл Венедиктов, CC BY-SA 3.0, via Wikimedia Commons (File:Lloris 2018 (cropped).jpg)"
FR_KOUNDE,Jules Koundé,3,FR,Q47170176,https://commons.wikimedia.org/wiki/Special:FilePath/Jules_Kound%C3%A9_2020.jpg?width=256,"© Дмитрий Пукалик, CC BY-SA 3.0, via Wikimedia Commons (File:Jules Koundé 2020.jpg)"
FR_VARANE,Raphaël Varane,4,FR,Q489039,https://commons.wikimedia.org/wiki/Special:FilePath/Rapha%C3%ABl_Varane_2018_(cropped).jpg?width=256,"© Антон Зайцев, CC BY-SA 3.0, via Wikimedia Commons (File:Raphaël Varane 2018 (cropped).jpg)"
