name,type,regions,store_count,website,best_contact_email,best_contact_role,why_target,notes,phone
Sports Direct (Frasers Group),chain,UK-wide,~470,https://www.sportsdirect.com/,cs@sportsdirect.com,Customer Services (head office routed to Michael Murray office),"UK's largest sporting goods retailer; will be the dominant high-street destination for WC2026 Adidas Trionda match ball, Nike Three Lions home/away kit, and every other competing-nation jersey; mass jersey + boot inventory across Nike, adidas, Puma, Karrimor, Slazenger, Everlast, USA Pro","Owned by Frasers Group plc (LSE: FRAS). HQ Unit A, Brook Park East, Shirebrook, Mansfield, NG20 8RY. CEO Michael Murray (since 1 May 2022). Group also owns Lillywhites, Flannels, House of Fraser, Evans Cycles, GAME, Jack Wills, Sofa.com. Press: press@frasers.group. Best escalation via head-office switchboard 0344 245 9200.",0344 332 5044
JD Sports,chain,UK-wide,~500,https://www.jdsports.co.uk/,customercare@jdsports.co.uk,Customer Care / UK Marketing,"UK's biggest sneaker + sportswear specialist; ~500 UK doors and the dominant Nike/adidas football boot floor space outside of brand stores; carries every WC2026 replica kit Nike + adidas drop; flagship 'The King of Trainers' positioning sells the WC2026 streetwear collabs","Listed JD Sports Fashion plc (LSE: JD.). HQ Hollinsbrook Way, Pilsworth, Bury, BL9 8RR. Pentland Group is 55% owner. Group also owns Size?, Footpatrol, Scotts, Tessuti, Blacks, Millets, GO Outdoors, Hip Store. CEO Régis Schultz. Investor relations corporate.communications@jdplc.com.",0161 767 1000
Decathlon UK,chain,"UK-wide (London Surrey Quays flagship, Croydon, Manchester, Reading, Sheffield and ~40 doors)",~40,https://www.decathlon.co.uk/,customer.services@decathlon.com,UK Customer Service / Press,"French-origin sporting goods giant with the UK's deepest grassroots football inventory under own brand Kipsta (boots, balls, kits); 40+ stores; £14m flagship refit at Surrey Quays 2023; runs in-store community football activations","UK HQ 9 Surrey Quays Road, London SE16 2XU. Parent Decathlon SE (private, controlled by Mulliez family). Press in UK comms@decathlon.com. Strong grassroots tie-in via Kipsta football academy partnerships.",020 7064 4400
Foot Locker UK,chain,UK-wide mall presence,~52,https://www.footlocker.co.uk/,via Help Center https://help.footlocker.co.uk/,UK Customer Service / EMEA Marketing,"Global sneaker chain; carries the WC2026 Nike Mercurial / adidas Predator drops and lifestyle football crossover collections; 52 UK doors anchored in major shopping centres (Watford Harlequin, Westfield, Bullring) drives lunch-hour foot traffic","Parent Foot Locker Inc (NYSE: FL). EMEA HQ in Vianen, Netherlands; UK ops run by EMEA team. No published UK marketing email; submit via Help Center. Sister formats Kids Foot Locker + Champs Sports.",
Pro:Direct Sport,e-tailer,UK + global online + Clarks Village outlet (Street, Somerset),1 outlet + online,https://www.prodirectsport.com/,customerservice@prodirectsport.com,Customer Service / Marketing,"Self-described world's largest online football store since 1999; deepest football boot inventory in the UK (Nike Mercurial, adidas Predator, Puma Future, NB Tekela); operates Pro:Direct Soccer + Pro:Direct Rugby + Pro:Direct Running; clearly WC2026-aligned","Pro-Direct Sport Limited (registered 04245687). HQ Torre House, Shaldon Road, Newton Abbot, Devon, TQ12 4PQ. Outlet at Clarks Village. Offices in France, Germany, Italy, Spain, Atlanta GA. Ships to 200+ countries.",01626 200200
Pro:Direct Soccer,e-tailer,UK + global online,0 (online only),https://www.prodirectsport.com/soccer/,customerservice@prodirectsport.com,Football Category Manager,"Football-only e-tail surface within Pro:Direct group; the spec'd channel for football specifically; pre-orders Nike + adidas WC2026 boot packs months before release - exactly the audience for a prediction-pool overlay","Pro-Direct Soccer Limited (registered 06646398) is the legal entity for the football division. Same HQ as Pro:Direct Sport (Newton Abbot, Devon).",
Lillywhites,chain,Piccadilly Circus London flagship + Linz Austria,1 UK,https://www.lillywhites.com/,via contact form on lillywhites.com,Store Manager / Frasers Group head office,"London's most famous sports retail address; 6-floor 67,700 sqft Grade II-listed building overlooking Piccadilly Circus; massive tourist foot traffic during WC2026; Frasers Group-owned, so a Sports Direct yes opens this door too","Owned by Frasers Group plc (same parent as Sports Direct). 24-36 Regent Street, London SW1Y 4QF. 97-year lease put on market in 2019 but still trading. Founded 1863 by the Lillywhite cricket family.",020 7930 3181
Size?,chain,"UK-wide (Carnaby St, Manchester, Leeds, Birmingham, Bristol, Edinburgh, Glasgow and more)",~30,https://www.size.co.uk/,via contact form on size.co.uk,Customer Service / JD Sports Marketing,"Premium sneaker chain inside JD Sports group; runs limited Nike + adidas football lifestyle drops (Samba, Gazelle, Air Max + national-team capsules); culture-led customer overlap with football fans wanting WC2026 streetwear","Formed 2000 by JD Sports. Parent JD Sports Fashion plc. HQ shared with JD Sports (Bury). Sister brands Footpatrol, Hip Store.",
Footpatrol,chain,"London (Berwick Street) + Manchester + online",2,https://www.footpatrol.com/,info@footpatrol.com,Store Manager / JD Sports group,"Sneaker boutique inside JD Sports group; Berwick Street Soho destination store; runs collaboration drops with Nike + adidas football lifestyle ranges; high-spend customer base","JD Sports group. 16 Berwick Street, London W1F 0PY. Strong streetwear / football culture crossover. Recent Manchester store opening 2022.",020 7734 4731
Footasylum,chain,UK-wide (~66 stores),~66,https://www.footasylum.com/,help@footasylum.com,Customer Service / Marketing,"UK youth sneaker + sportswear chain with 66+ doors in major shopping centres (Trafford, Bluewater, Westfield); carries Nike + adidas + Puma WC2026 replica drops and lifestyle football collabs; under-25 customer base = strong WC2026 social engagement","Footasylum Limited (registered 05535565). HQ Sandbrook House, Sandbrook Park, Rochdale, OL11 1RY. Owned by AURELIUS (acquired 2022 from JD Sports after CMA forced divestment). Co-founders David Makin (also co-founded JD Sports) and John Wardle.",0161 393 7900
