name,type,regions,store_count,website,best_contact_email,best_contact_role,why_target,notes,phone
Sport Chek,chain,national (all 10 provinces + territories),~190,https://www.sportchek.ca/,customerservice@sportchek.ca,Customer Service / FGL Sports Marketing,Canada's largest sporting goods chain and the dominant retailer for Canada Soccer Mens national team kit and adidas WC2026 Trionda match ball; flagship CF Toronto Eaton Centre store sits 8 mins from BMO Field which hosts 6 WC2026 matches incl. Canada's opener; loyalty file (Triangle Rewards) covers most adult Canadians,"Owned by Canadian Tire Corporation (TSX:CTC.A). HQ: 2700 Matheson Blvd East, Mississauga ON L4W 4V9. FGL Sports Ltd is the operating arm (also runs Atmosphere, Sports Experts, Pro Hockey Life, Hockey Experts, National Sports, Nevada Bob's). Greg Hicks is President & CEO Canadian Tire Corp. TJ Flood is President Canadian Tire Retail. Approx 190 banner stores across Canada.",1-866-883-2453
Atmosphere,chain,national (Quebec / Ontario / Atlantic Canada strongest),~70,https://www.atmosphere.ca/,customerservice@atmosphere.ca,Customer Service / FGL Sports Marketing,FGL Sports outdoor + team-sport banner; carries Canada Soccer replica kit and adidas/Nike/Puma boots; stronger small-town and Quebec footprint than Sport Chek so reaches WC2026 hosts Toronto + Vancouver tail catchments,"Sister banner to Sport Chek under FGL Sports / Canadian Tire (TSX:CTC.A). HQ Calgary. Many stores co-located or rebranded from former Forzani Group acquisitions. ~70 locations across Canada.",1-866-883-2453
Sports Experts,chain,Quebec primarily + scattered Ontario / Atlantic,~75,https://www.sportsexperts.ca/,servicealaclientele@sportsexperts.ca,Service à la clientèle / FGL Sports Quebec Marketing,Quebec's dominant sporting goods banner and the natural retail home for CF Montréal + Canada Soccer replica kit; Olympic Stadium hosts 7 WC2026 matches incl. Canada / Mexico group games; bilingual outreach essential,"Banner under FGL Sports / Canadian Tire (TSX:CTC.A). Siege social: 8205 boul. Métropolitain Est, Anjou QC H1K 1A1. Strongly Quebec-anchored with francophone marketing team. Boutiques dans la plupart des centres commerciaux du Quebec (Carrefour Laval, Place Sainte-Foy, Galeries de la Capitale, etc.).",1-866-883-2453
SAIL,chain,Quebec + Ontario + Atlantic,~15,https://www.sail.ca/,info@sail.ca,Customer Service / Marketing Director,Quebec-founded outdoor + team-sport big-box; carries soccer boots and Canada Soccer replica gear; large-format stores good for prediction-pool entry kiosks; recovering from 2020 CCAA restructure under new ownership,"HQ: 3500 boul. Industriel, Laval QC H7L 4R9. Privately owned (post-CCAA new ownership 2020). Banners include SAIL, Sportium (Laval / Brossard / Quebec City), and L'Aventurier. Phone 1-866-323-7245.",1-866-323-7245
Mountain Equipment Company,chain,national (BC strongest),22,https://www.mec.ca/,service@mec.ca,Member Services / Marketing,"Recovering MEC carries soccer boots, Canada Soccer kit and futsal balls; Vancouver flagship sits walking distance from BC Place (host venue for 7 WC2026 matches incl. Canada group games); strong millennial / Gen Z loyalty file","HQ: 1077 Great Northern Way, Vancouver BC V5T 1E1. Owned by Kingswood Capital Management (US PE) since Sept 2020 acquisition out of CCAA. Eric Claus is CEO. Co-op model dissolved during sale; now standard private retailer. ~22 stores nationwide.",1-888-847-0770
Decathlon Canada,chain,Quebec + Ontario + BC + Alberta,~16,https://www.decathlon.ca/,info@decathlon.ca,Customer Service / Decathlon Canada Marketing,French sporting goods giant aggressively expanding in Canada; Kipsta is their in-house football brand and stocks WC2026 supporter kit + balls; flagship Brossard QC store + Toronto Scarborough sit in two WC2026 host catchments,"Canadian HQ: 8585 boul. Leduc, Brossard QC J4Y 0G8. Subsidiary of Decathlon SA (France, AFM/private). Opened first Canadian store 2018. Rapid 2024-26 expansion to ~16 stores. Phone 1-833-991-0001.",1-833-991-0001
Foot Locker Canada,chain,national mall presence,~120,https://www.footlocker.ca/,via Help Center contact form,Customer Service / Canada Marketing,Carries WC2026 adidas + Nike replica jerseys and lifestyle football crossover stock; high mall foot traffic in Toronto / Vancouver / Montreal CBDs near host venues; Jordan x WC2026 capsule expected late 2026,"Parent Foot Locker Inc (NYSE:FL). Canadian banners include Foot Locker, Kids Foot Locker, Champs Sports, Foot Locker Clearance. Approx 120 Canadian stores across all banners. Canadian HQ historically Don Mills ON. No public Canada-specific marketing email; only Help Center form. (unverified inferred pattern: customer.service@footlocker.com)",
Champs Sports Canada,chain,national mall presence,~80,https://www.champssports.ca/,via Help Center contact form,Customer Service / Canada Marketing,Foot Locker Inc banner with deeper team-sport SKUs than the Foot Locker mainline; carries Canada Soccer + USA Soccer + Mexico replica kit and adidas/Nike/Puma boots; mall-anchored so high WC2026 walk-in volume,"Banner under Foot Locker Inc (NYSE:FL). Approx 80 Canadian stores. Same Help Center routing as Foot Locker Canada. (unverified inferred pattern: customer.service@champssports.com)",
JD Sports Canada,chain,Ontario + Quebec + BC + Alberta,~80,https://www.jdsports.ca/,customerservice@jdsports.ca,Customer Service / Canada Marketing,UK sneaker giant rapidly expanding in Canada after 2021 acquisition of Shoe Palace + 2023 Hibbett purchase; carries Canada / France / Mexico WC2026 replica kit and Nike Mercurial / adidas F50 boot drops,"Parent JD Sports Fashion plc (LSE:JD.). Canadian HQ historically Mississauga. Expanded fast via Shoe Palace + Finish Line + Hibbett acquisitions across North America. ~80 Canadian stores incl. several Quebec locations now. (unverified pattern: customerservice@jdsports.ca; backup customerchampions@jdplc.com).",
Sporting Life,chain,Ontario + Quebec + BC + Alberta,12,https://www.sportinglife.ca/,customerservice@sportinglife.ca,Customer Service / Marketing,"Premium full-service banner under Canadian Tire / FGL Sports; carries top-end adidas + Nike football lines, Canada Soccer kit, and high-margin lifestyle football crossover; Toronto flagship at Yonge & Eglinton sits inside the WC2026 fan-zone catchment","Acquired by Canadian Tire Corporation (TSX:CTC.A) in Feb 2024 from former owners David Russell and the Russell family. Now run under FGL Sports umbrella. 12 stores across Canada. HQ Toronto.",
