name,tier,region,website,best_contact_email,best_contact_role,why_target,notes,phone
US Soccer Federation,federation-national,Chicago IL (HQ); national,https://www.ussoccer.com/,info@ussoccer.com,General Inbox,Sole governing body of soccer in the United States; greenlights or signals every grassroots channel; co-host federation for WC2026,1801 S Prairie Ave Chicago IL 60616; CEO JT Batson; Comms VP Neil Buethe; media via communications@ussoccer.com,+1 312 808 1300
US Soccer Foundation,federation-national,Washington DC; national,https://ussoccerfoundation.org/,info@ussoccerfoundation.org,General Inbox,Largest charitable arm of US soccer; runs Soccer for Success in 400+ cities and operates the Safe Places to Play grant network; perfect WC2026 youth-engagement multiplier,1133 19th St NW Suite 200 Washington DC 20036; CEO Ed Foster-Simeon; comms@ussoccerfoundation.org also valid,+1 202 872 9277
US Youth Soccer Association (USYSA),federation-national,Frisco TX (HQ); national 55 state assocs,https://www.usyouthsoccer.org/,info@usyouthsoccer.org,General Inbox,Largest youth sport organization in the US with ~2.5M registered players across 55 state associations and 7000+ leagues; one yes here cascades to every state member,9220 World Cup Way Frisco TX 75033; CEO Skip Gilbert; media via comms@usyouthsoccer.org (unverified pattern),+1 800 476 2237
US Club Soccer,federation-national,Charleston SC; national,https://www.usclubsoccer.org/,info@usclubsoccer.org,General Inbox,Alternative national sanctioning body for ~600K youth players including the ECNL pipeline; parallel channel to USYSA,9624 Highway 17 N Suite 100 Charleston SC 29456; CEO Mike Cullina; staff format {first}.{last}@usclubsoccer.org (unverified),+1 843 429 0006
American Youth Soccer Organization (AYSO),federation-national,Hawthorne CA (HQ); national,https://www.ayso.org/,support@ayso.org,National Support Center,~400K youth players nationwide with strong volunteer-parent base; WC2026 viewing-party engine for every AYSO region,19750 S Vermont Ave Suite 200 Torrance CA 90502; CEO Robert Koger; media via marketing@ayso.org (unverified pattern),+1 800 872 2976
Major League Soccer (MLS),federation-national,New York NY (HQ); 30 clubs US+CA,https://www.mlssoccer.com/,(contact form),League Office Comms,Top-tier US/Canada men's pro league; central league comms can co-signal a fan tool ahead of WC2026 across all 30 clubs,1 SoHo Square 161 Avenue of the Americas New York NY 10013; Commissioner Don Garber; press via press@mlssoccer.com (verified),+1 212 450 1200
National Women's Soccer League (NWSL),federation-national,New York NY (HQ); 14 clubs national,https://www.nwslsoccer.com/,info@nwslsoccer.com,League Office Inbox,Top US women's pro league; FIFA Women's WC 2027 also looming so WC2026 men's pool engages the same fan crossover; broadcast deal with CBS+Amazon+ESPN+ION drives audience,488 Madison Ave 15th Floor New York NY 10022; Commissioner Jessica Berman; comms via media@nwslsoccer.com (unverified),
United Soccer League (USL),federation-national,Tampa FL (HQ); 50+ clubs national,https://www.uslsoccer.com/,info@uslsoccer.com,League Office Inbox,Parent body for USL Championship USL League One USL League Two and the new USL Super League; ~50 clubs across the Sun Belt and Midwest; one yes cascades to the entire USL pyramid,615 Channelside Drive Suite 200 Tampa FL 33602; CEO Alec Papadakis; press via communications@uslsoccer.com,+1 813 685 2308
MLS Players Association,federation-national,Washington DC; national,https://mlsplayers.org/,info@mlsplayers.org,Executive Office,Player union covering all MLS rostered players; co-signal moves locker rooms which moves club socials,529 14th St NW Suite 1280 Washington DC 20045; Executive Director Bob Foose,+1 202 552 4912
United Soccer Coaches,federation-national,Kansas City MO; national,https://unitedsoccercoaches.org/,info@unitedsoccercoaches.org,General Inbox,Largest soccer coaches association in the world with ~30K members from rec to pro; perfect WC2026 educator channel,30 West Pershing Rd Suite 350 Kansas City MO 64108; CEO Jamie McCloskey; media@unitedsoccercoaches.org (unverified),+1 800 458 0678
United Premier Soccer League (UPSL),federation-national,Westlake Village CA; national,https://www.upslsoccer.com/,info@upslsoccer.com,General Inbox,400+ adult amateur clubs across 30+ states; minimal gatekeeping; high-engagement community game,Operates Conference structure with semi-pro and pro pathway,
National Premier Soccer League (NPSL),federation-national,Saint Louis MO; national,https://www.npsl.com/,info@npsl.com,General Inbox,~100 semi-pro clubs across the US; strong supporters culture at member clubs (Detroit City FC alum and similar),Member-owned league; commissioner Cindy Spera,
USL W League,pro-womens-usl,Tampa FL; national,https://www.uslwleague.com/,info@uslwleague.com,League Office Inbox,Pre-pro women's league with 90+ clubs across 14 conferences; collegiate summer pathway feeds NWSL,Part of USL portfolio; share infra with USL,
USL Academy League,academy,Tampa FL; national,https://www.uslsoccer.com/usl-academy/,info@uslsoccer.com,League Office Inbox,Top youth pathway under USL with 100+ academies; co-signal with USL parent makes outreach efficient,Shared press desk with USL,
