name,type,regions,store_count,website,best_contact_email,best_contact_role,why_target,notes,phone
Dexter,chain,national (22+ provinces),~70,https://www.dexter.com.ar/,via contact form on dexter.com.ar,"Alberto Calvo (Gerente General Grupo Dabra); marketing lead per LinkedIn","Argentina's leading multi-brand sports retailer since 1988; flagship channel for Adidas / Nike / Puma / Under Armour football boots and the AFA replica kit during the Messi farewell tour; Grupo Dabra is the dominant sports retail holding in the country","HQ Autopista Panamericana KM 25,6 Don Torcuato, Buenos Aires. Phone 0810-888-3398. Part of Grupo Dabra (also owns Stock Center, Moov by Dexter, Netshoes, Tienda River, Tienda Pincha, Urbo, Lotto, 120+ stores total). CEO Alberto Calvo (ex Netshoes, ex Nike). Loyalty programme 'Tribu Dexter'.",0810-888-3398
Stock Center by Netshoes,chain,national,~24,https://www.stockcenter.com.ar/,via contact form on stockcenter.com.ar,Grupo Dabra marketing team,"Multi-marca chain merged with Netshoes e-commerce since 2020; carries the full Adidas AFA Argentina 2026 kit + Predator boots; sister chain to Dexter under Grupo Dabra so a single Grupo Dabra yes unlocks 120+ stores","HQ Colectora Panamericana km 25,600. Operating entity Karias S.A. Stock Center. Merged commercial site with Netshoes (Brazilian e-commerce platform acquired 2019). Operates 24 physical stores plus Netshoes online channel.",
Open Sports,chain,"Buenos Aires, La Pampa, Rio Negro, Neuquen, Santa Fe (34 cities)",80,https://www.opensports.com.ar/,atenciononline@opensports.com.ar,Customer Service / Grupo Open Sports marketing,"Grupo Open Sports is Argentina's most important sports retail chain by their own positioning; 80 stores across 5 provinces, 800+ employees, 64+ year trajectory; also operates Adidas, Crocs and Lacoste franchise stores so they directly run the Adidas Argentina retail counters","Parent Grupo Open Sports also owns Trip Store, Run&Bike, Florida Premium Outlet, Rossi Rossi. Phone 0800-999-8638. Great Place to Work certified. WhatsApp via site. Most relevant single conversation in AR sports retail.",0800-999-8638
Sportline,chain,Buenos Aires + interior (national online),~30,https://www.sportline.com.ar/,ecommerce@sportline.com.ar,E-commerce / marketing manager,"Multi-brand zapatillas + indumentaria deportiva chain with stores across CABA + Greater Buenos Aires (Avellaneda, Belgrano, Florida, Moron, Quilmes, San Justo, Ezeiza, Moreno) plus interior; carries Nike/adidas/Puma football boots and AFA replicas","Phone 11-5578-0529. Job applications busquedas@sportline.com.ar. National free shipping over ARS 149,999. Mid-tier price point so prediction-pool foot traffic angle resonates.",11-5578-0529
Showsport,chain,"Corrientes, Chaco, Misiones",~30,https://www.showsport.com.ar/,via contact form on showsport.com.ar,Owner-operator / Corrientes HQ,"Dominant sports chain in the Litoral / NEA region (Corrientes, Chaco, Misiones); 201-500 employees per LinkedIn; strong indigenous brand awareness in provinces ignored by Buenos Aires chains; carries Nike/adidas/Puma football boots and AFA kit","HQ Corrientes Capital (Centenario Shopping). WhatsApp +54 9 3794 871753. Operates branded canalshowsport.com.ar for B2B. Often skipped by federal-capital outreach so a 'first to ask' advantage.",+54 379 423-0158
Solo Deportes,chain,national,~30,https://www.solodeportes.com.ar/,via contact form on solodeportes.com.ar,Customer service / marketing,"30-store Argentine sportswear chain; high-traffic CABA locations (Florida 638, Cabildo 2070, Av. Rivadavia 6686 + 6581); carries adidas/Puma/Nike/New Balance/Reebok including the AFA 2026 kit","Phone 0800-222-7656 (SOLO). WhatsApp +54 9 11 2348 8680. Monday-Friday 10-18; Saturday 10-16. Multi-brand model so flexible on partnership terms.",0800-222-7656
Moov by Dexter,chain,"22 provinces (Corrientes, Mendoza, San Juan, Salta, Tucuman, Santiago del Estero, Chaco, Cordoba, Entre Rios, Santa Fe, Buenos Aires +)",~40,https://www.moovbydexter.com.ar/,via Grupo Dabra contact,Grupo Dabra marketing team,"Urban + sportswear chain born inside Grupo Dabra; carries Nike, adidas, Puma, Under Armour, Jordan, Vans, Fila, Converse, Reebok; strong AFA Argentina kit positioning given Adidas relationship","Same parent (Grupo Dabra) as Dexter and Stock Center so route via Dexter contact. Phone via Grupo Dabra 0810-888-3398. Anchor stores in Rosario (Cordoba pedestrian 1280, Alto Rosario Shopping) and Mendoza Shopping.",0810-888-3398
Mega Sports,chain,Buenos Aires (AMBA),~35,https://www.megasports.com.ar/,via contact form on megasports.com.ar/institucional/contacto,Owner-operator (family business),"Family-owned multi-brand chain since 1994; 35+ stores across AMBA; carries adidas/Nike/Puma plus AFA replica kit; free pickup at all branches","Founded 1994 in Belgrano. Family-owned so faster decision making than Grupo Dabra. Free pickup available at all AMBA branches.",
Sporting,chain,"Salta, Tucuman, Jujuy (NOA)",~15,https://www.sporting.com.ar/,via contact form on sporting.com.ar,Owner-operator,"Dominant sports retail chain in NOA (Northwest Argentina) where federal chains have thin presence; carries football boots and AFA kit; ideal partner for a province-level WC2026 pool",NOA regional anchor. Also operates Woker By Sporting (wokerbysporting.com.ar) sub-brand.,
NBA Store by AMI Group / Dash Deportes,chain,national (~85 points of sale incl. Dash + Grid + NBA Store),~85,https://www.dashdeportes.com.ar/,via contact form,Daniel Franco (CEO AMI Group); Amilcar Torres (Presidente del Directorio),"AMI Group runs Dash + Grid + Mark Sports + the first official NBA Store in Argentina (Panamericana y Edison Martinez, opened April 2025); 40+ years in sports retail; basketball-led but Dash + Grid carry full Nike / adidas / Puma football inventory inc. AFA kit","Holding entity AMI Group SA. Daniel Franco CEO (per LinkedIn). Amilcar Torres Presidente. Anchor location Av. Panamericana y Edison Martinez. NBA Store includes basketball court for shoe try-on + NBA Cafe.",
Grid,chain,"Buenos Aires, Cordoba, Mendoza, Salta, Chubut, Chaco",20+,https://www.grid.com.ar/,via contact form on grid.com.ar,AMI Group marketing,"Urban + sports fashion chain owned by AMI Group; 20+ stores nationwide; official Nike, adidas, Puma reseller plus the NBA + AFA collaborations; strong appeal to the 18-30 demographic who'll drive WC2026 social shares",AMI Group portfolio brand (sister to Dash + NBA Store). MercadoLibre + Hot Sale channel active.,
Dash Deportes,chain,national,~70,https://www.dashdeportes.com.ar/,via contact form on dashdeportes.com.ar,AMI Group marketing,"AMI Group's flagship chain with 40+ year history; 70+ stores nationwide; full Nike + adidas + Puma + Under Armour + Jordan inventory including AFA kit; recently rebranded the Martinez flagship into the NBA Store","Phone 0810-888-8639. Sister to Grid + Mark Sports + NBA Store under AMI Group. Same B2B contact path.",0810-888-8639
Mark Sports,chain,"Buenos Aires CABA, Moron (Plaza Oeste)",~10,https://www.marksports.com.ar/,via contact form on marksports.com.ar,AMI Group marketing,"AMI Group's high-performance sports sub-brand created 2017; CABA + Plaza Oeste presence; targets serious athletes who tend to be deeper football fans","AMI Group sibling to Dash + Grid + NBA Store. Av. Panamericana 535 esq. Edison (CABA).",
Sportotal,chain,"Mendoza, San Juan, San Luis, Catamarca, Santiago del Estero (Cuyo + NOA)",~15,https://www.sportotal.com.ar/,hola@sportotal.com.ar,Owner-operator,"Cuyo regional sports retail leader; multi-brand (adidas, Puma, New Balance, Topper, Reebok, Salomon, Fila, Saucony); strong Mendoza + San Juan footprint where federal chains are thin","Phone +54 264 420-0274. MercadoLibre channel active. Self-positioned as the Cuyo category leader.",+54 264 420-0274
Vaypol,chain,Mendoza (Cuyo),5,https://www.vaypol.com.ar/,via contact form on vaypol.com.ar,Owner-operator,"Self-described 'tienda deportiva lider en todo Cuyo'; 5 stores all in Mendoza Province incl. flagship San Martin 1390; free shipping province-wide; carries Nike/adidas/Puma plus AFA kit","Phone +54 263 442-7845. Multiple Mendoza locations (San Martin 1042, 1390, 1447, 2776; Tropero Sosa 441 Maipu). Province-scale anchor.",+54 263 442-7845
Depormania,chain,Mendoza (3 stores),3,https://www.depormania.com.ar/,via contact form on depormania.com.ar,Owner-operator,"Mendoza retailer 21+ years; 3 strategic stores covering most departments of the province; carries adidas/Nike/Puma football kit including AFA Argentina","HQ 9 de Julio 58, M5570 Mendoza. Phone +54 9 263 4598750. Smaller scale = faster turnaround on a free promo offer.",+54 9 263 459-8750
Newsport,chain,"Cordoba, AMBA",~15,https://www.newsport.com.ar/,via contact form on newsport.com.ar,Owner-operator,"Cordoba-anchored sports chain with key stores in Patio Olmos Shopping + Av. Fuerza Aerea + Duarte Quiroz; carries adidas/Nike/Puma boots; strong reach in Cordoba football catchment (Talleres + Belgrano + Instituto fans)",Phone 0810-888-8639 (shared switchboard infra with Dash). Also operates Newsport Bikes sub-brand.,0810-888-8639
