name,type,regions,store_count,website,best_contact_email,best_contact_role,why_target,notes,phone
Dick's Sporting Goods,chain,"national (all 50 states)",~860,https://www.dickssportinggoods.com/,investors@dcsg.com,"Investor Relations / Corporate Communications (Nate Gilch, SVP Communications)","Largest US sporting goods retailer; will be the dominant national stockist of WC2026 Adidas match ball, USMNT replica jerseys and competing-nation kits across all 50 states; host-nation surge means football moves from niche to mainstream in their footprint","HQ: 345 Court Street, Coraopolis, PA 15108. Parent: Dick's Sporting Goods Inc (NYSE: DKS). CEO Lauren Hobart. Customer Service 1-877-846-9997. Press contacts via dickssportinggoods.com/about-us/press-releases. Marketing organisation sits under EVP/Chief Marketing Officer Emily Silver.",+1-877-846-9997
Academy Sports + Outdoors,chain,"~18 states (TX, FL, GA, AL, TN, NC, SC, MO, OK, AR, LA, MS, KY, IN, OH, WV, VA, KS)",~290,https://www.academy.com/,investor.relations@academy.com,Investor Relations / Brand Marketing,"Largest sporting goods chain in the Sun Belt with massive Texas + Florida footprint, both WC2026 host states (Dallas, Houston, Atlanta and Miami are 2026 host cities); Latino market overlap perfect for Mexico + Argentina + Brazil jersey campaigns",HQ: 1800 N Mason Rd Katy TX 77449 (Houston metro). Parent: Academy Sports and Outdoors Inc (NASDAQ: ASO). CEO Steve Lawrence. Customer Service 1-888-922-2336. Note: NYSE/NASDAQ-listed so investor-grade press pitching works.,+1-888-922-2336
REI Co-op,chain,"national (39 states + DC)",~190,https://www.rei.com/,member.services@rei.com,Member Services / Marketing,"Co-op member-owned outdoor and active-lifestyle retailer with 24M+ members; less football-heavy historically but co-op model means individual store managers have community-event latitude; family/casual demo aligns with host-nation casual-fan WC2026 surge","HQ: 6750 S 228th St, Kent, WA 98032 (Seattle metro, a 2026 host city). Privately held co-op. CEO Mary Beth Laughton. Customer Service 1-800-426-4840. Each REI store has a community events programme that can be approached locally.",+1-800-426-4840
Big 5 Sporting Goods,chain,"Western US (CA, AZ, NV, OR, WA, ID, UT, NM, CO, TX, OK, WY, MT)",~419,https://www.big5sportinggoods.com/,investor.relations@big5corp.com,Investor Relations / Marketing,"Western US chain dominant in California, a state with the largest Mexican-American population in the US; Mexico jersey sales surge during WC2026 plays directly into Big 5's core SoCal / Central Valley / Bay Area footprint",HQ: 2525 E El Segundo Blvd El Segundo CA 90245. Parent: Big 5 Sporting Goods Corporation (formerly NASDAQ: BGFV; taken private by Worldwide Sports Group in 2025). Customer Service 1-877-244-7547. CEO Steven Miller.,+1-877-244-7547
Hibbett (incl. City Gear),chain,"~36 states (southern + midwestern US)",~1170,https://www.hibbett.com/,customerservice@hibbett.com,Customer Service / Brand Marketing,"Largest US sneaker chain in small-town markets across the South and Midwest; ~1170 stores including City Gear urban-format banner; strong Nike/adidas football boot inventory; underserved football catchment in rural Sun Belt that gets the host-nation lift",HQ: 2700 Milan Court Birmingham AL 35211. Acquired by JD Sports Fashion plc in 2024 (LSE: JD.). Customer Service 1-844-362-1762. President Jared Briskin. City Gear focuses on urban/youth markets - perfect for Latino jersey crossover.,+1-844-362-1762
Foot Locker US,chain,"national mall presence (all 50 states)",~2400 globally (~840 US),https://www.footlocker.com/,investor_relations@footlocker.com,Investor Relations / Brand Marketing,"Largest US sneaker mall chain; carries WC2026 Nike/adidas/Jordan replica jerseys and lifestyle football crossover; mall foot traffic spikes during summer WC2026 schedule (June-July 2026)","HQ: 330 West 34th Street, New York, NY 10001 (but relocating to St Petersburg FL 2025-26). Parent: Foot Locker Inc (NYSE: FL). Customer Service 1-800-991-6815. CEO Mary Dillon. Banners include Foot Locker, Kids Foot Locker, Champs Sports, atmos.",+1-800-991-6815
Champs Sports,chain,"national mall presence",~500,https://www.champssports.com/,customerservice@champssports.com,Customer Service / Foot Locker Inc Marketing,"Foot Locker Inc's team-sport-leaning banner; carries jerseys + boots + supporters' gear with a more athletic-team positioning than Foot Locker main; WC2026 replica kits + boot launches",Subsidiary of Foot Locker Inc (NYSE: FL). HQ shared with Foot Locker (NYC and St Petersburg FL). Customer Service 1-888-200-9081. Marketing decisions roll up to Foot Locker Inc EVP/CMO Kim Waldmann.,+1-888-200-9081
JD Sports US,chain,"national (~75 standalone + ~600 within Finish Line and Shoe Palace banners)",~675,https://www.jdsports.com/,customerservice@jdsports.com,Customer Service / US Marketing (Finish Line HQ Indianapolis),"UK sneaker giant rapidly expanding in US via Finish Line and Shoe Palace acquisitions; strong Nike/adidas/Puma football boot inventory; recently acquired Hibbett, making JD Sports plc the dominant US footwear retailer for WC2026","HQ (Finish Line): 3308 N Mitthoeffer Rd Indianapolis IN 46235. Parent: JD Sports Fashion plc (LSE: JD.). US CEO Andy Bonacker. Customer Service 1-888-777-3949. Escalation: customerchampions@jdplc.com.",+1-888-777-3949
Finish Line,chain,"national mall presence + Macy's shop-in-shops",~440 standalone + ~450 Macy's,https://www.finishline.com/,customerservice@finishline.com,Customer Service / JD Sports US Marketing,"JD Sports US banner with mall + Macy's shop-in-shop footprint; carries Nike/adidas/Puma WC2026 boot and jersey ranges; Macy's tie-up makes them visible to non-sport-specialist shoppers",Subsidiary of JD Sports Fashion plc (LSE: JD.). HQ: 3308 N Mitthoeffer Rd Indianapolis IN 46235. Macy's shop-in-shop programme runs in ~450 Macy's stores. Customer Service 1-888-777-3949.,+1-888-777-3949
DTLR,chain,"East Coast + Midwest urban markets (MD, DC, VA, PA, DE, NJ, NY, GA, FL, NC, SC, OH, IL, IN, MI, MO, TN, AL, MS, LA, TX, WI)",~250,https://www.dtlr.com/,customerservice@dtlr.com,Customer Service / Marketing,"Urban-format sneaker and streetwear chain with deep East Coast + Midwest urban footprint; Black + Latino customer base strongly overlaps with US WC2026 viewership growth; football crossover via Nike + adidas lifestyle drops",HQ: 1300 Mercedes Drive Hanover MD 21076 (Baltimore metro). Parent: Shoe Palace Corporation / JD Sports Fashion plc (LSE: JD.). Acquired by JD in 2021. Customer Service 1-866-693-3857.,+1-866-693-3857
